workerid,totalLength,gameID,thinksHuman,confused,comments,ratePartner,role,nativeEnglish
0,572478,3843-c,yes,yes,,loved,listener,yes
1,535364,7555-2,yes,yes,,okay,listener,yes
2,664826,3540-a,yes,yes,,liked,speaker,yes
3,1083450,9346-5,yes,yes,,liked,speaker,yes
4,1070736,9346-5,yes,yes,i loved this hit!!!,loved,listener,yes
5,839051,9272-c,yes,yes,None,loved,listener,no
6,926259,9272-c,yes,yes,"Thanks, that was interesting.",liked,speaker,yes
7,724281,0881-5,yes,yes,,liked,listener,yes
8,866198,0881-5,yes,yes,"That was really fun, but it is a little underpaid.",loved,speaker,yes
9,137167,1168-a,yes,yes,"My partner never responded to me saying hello, and didn&quotechart provide any instructions and then disconnected.",not much,listener,yes
10,754285,2470-e,yes,yes,,liked,speaker,yes
11,616924,2470-e,yes,yes,that was fun!,loved,listener,yes
12,669419,4793-5,no,yes,,not much,listener,yes
13,706644,4793-5,yes,yes,,loved,speaker,yes
14,654194,5613-0,yes,yes,,okay,listener,yes
15,739307,5613-0,yes,yes,"Thank you, it was interesting!",loved,speaker,yes
16,765633,7850-e,yes,yes,"None, everything went great. Thanks!",loved,listener,yes
17,774970,7850-e,yes,yes,"Enjoyable, thank you and good luck!",liked,speaker,yes
18,1022136,4927-d,yes,yes,Great fun!,loved,speaker,yes
19,957995,4927-d,no,yes,My partner was awesome!!,loved,listener,yes
20,587493,8799-c,no,yes,Thanks!,liked,listener,yes
21,740672,8799-c,yes,yes,,liked,speaker,yes
22,286237,7871-d,yes,yes,"The experiment ended at round 9/50, I&quotecharm not sure if that was an error or not.",okay,speaker,yes
23,619346,4117-0,no,yes,,okay,speaker,yes
24,600541,4117-0,no,yes,,liked,listener,yes
25,1228673,7783-7,yes,yes,I hope you have access to the chat logs because he wasted both our time for not reading the directions initially.,not much,listener,yes
26,990692,6289-e,yes,yes,,loved,listener,yes
27,1334358,7783-7,no,confused,my letters wouldnt work lol it was ard to describe alot,okay,speaker,yes
28,1030021,6289-e,yes,yes,Thank you -- this was challenging and fun,liked,speaker,yes
29,706087,3720-1,no,yes,,not much,listener,yes
30,738479,3720-1,yes,yes,no,liked,speaker,yes
31,1799613,6983-1,yes,yes,"Once it got going properly it was VERY enjoyable. Odd, but interesting. Sorry I cannot write more, but my timer is about to expire. Took close to the full hour because of a couple glitches. Thanks. ",loved,listener,yes
32,621701,5957-a,yes,yes,None,okay,speaker,yes
33,178343,2714-3,yes,yes,no,okay,speaker,yes
34,895983,9114-e,yes,yes,"This was fun! Hopefully, there are more HITs that involve 2 or more turkers. It makes turking enjoyable!",loved,speaker,yes
35,650895,9114-e,yes,yes,,okay,listener,yes
36,671322,5507-1,no,yes,,loved,listener,yes
37,741535,5507-1,yes,yes,"that was fun, thanks!",liked,speaker,yes
38,108859,2364-d,yes,yes,I thought there would be 50 rounds?  It stopped after 4?  Did I do something wrong?,liked,listener,yes
39,1338040,7584-c,yes,yes,"really nice. finally felt I was working w/ a real person. 99.9% of time you feel it is computer. Thanks, very intersting!",loved,listener,yes
40,73615,0223-1,yes,yes,It skipped straight to the end and I never worked with a partner?,okay,speaker,yes
41,996070,3412-4,yes,yes,,loved,speaker,yes
42,839379,3412-4,yes,yes,none thank you,liked,listener,yes
43,509603,7883-3,no,yes,,okay,listener,yes
44,857547,7883-3,yes,yes,No problems,liked,speaker,yes
45,1766694,1632-b,yes,yes,no,okay,listener,yes
46,1833399,1632-b,no,yes,,liked,speaker,yes
47,700296,3784-6,no,yes,,loved,listener,yes
48,707562,3784-6,no,yes,none,okay,speaker,yes
49,1109932,1325-8,yes,yes,,loved,speaker,yes
50,1064741,1325-8,yes,yes,in the middle the partner said his timer had expired and I almost had to guess for the rest for 2 hits until he decided to complete the hit. ,not much,listener,yes
51,570656,0811-5,yes,yes,,liked,listener,yes
52,581293,0811-5,yes,yes,,liked,speaker,yes
53,885097,7314-4,yes,yes,nope,okay,listener,yes
54,1048366,7314-4,yes,yes,very interesting! ,liked,speaker,yes
55,1265277,4139-d,yes,yes,I would have liked to be the listener too!,liked,speaker,yes
56,1273201,4139-d,yes,yes,This was a fun experiment!  Thank you.,loved,listener,yes
57,764778,2400-e,yes,yes,Fun experiment,loved,listener,yes
58,804016,2400-e,yes,yes,Very fun! I would like to try being on the other side (listener).,loved,speaker,yes
59,959277,8088-6,yes,yes,,liked,listener,yes
60,988343,8088-6,no,yes,"That took too long and should have a longer timer. Interesting, but low pay. ",liked,speaker,yes
61,1362759,2780-1,yes,yes,,loved,speaker,yes
62,1184792,2780-1,yes,yes,,loved,listener,yes
63,1485458,3618-3,yes,yes,enjoyable HIT,loved,speaker,yes
64,1470886,3618-3,no,yes,The other person either does not know their colors or their screen colors are off. ,okay,listener,yes
65,864480,4607-5,yes,yes,,not much,listener,yes
66,1012584,4607-5,yes,yes,That was a lot of fun.  Some of it was very hard. ,loved,speaker,yes
67,1334060,5800-8,yes,yes,Thank you. It is interesting and fun,liked,listener,no
68,1334335,5800-8,yes,yes,This was a very fun experiment and I had a ton of fun doing it!,loved,speaker,yes
69,1374883,4647-2,yes,yes,,loved,listener,yes
70,1409587,4647-2,yes,yes,fun. unique.,loved,speaker,yes
71,919036,5248-d,yes,yes,,liked,speaker,yes
72,730837,5248-d,yes,yes,Fun!,okay,listener,yes
73,213243,0559-0,no,yes,I never got connected w/ a partner!,NA,speaker,yes
74,633593,9536-4,yes,yes,,okay,listener,yes
75,646318,9536-4,yes,yes,good hit,loved,speaker,yes
76,771163,9666-b,yes,yes,,okay,listener,yes
77,805392,9666-b,no,yes,No comments,not much,speaker,yes
78,1209186,6442-4,yes,yes,This was fun :),liked,speaker,yes
79,1134761,6442-4,yes,yes,,loved,listener,yes
80,843955,2267-6,yes,yes,,liked,speaker,yes
81,805107,2267-6,yes,yes,It was a lot of fun!,liked,listener,yes
82,1195436,7614-6,yes,yes,no,loved,speaker,yes
83,1222813,7614-6,yes,yes,"My partner typed very slow and repeatedly used the word &quotechargay&quotechar to describe purple, which I thought was inappropriate",not much,listener,yes
84,1462654,6888-9,yes,yes,That was really interesting and extremely enjoyable! Thanks for the opportunity!,loved,speaker,yes
85,1461540,6888-9,yes,yes,I had a good partner. I sort of wish there was a bonus incentive for number right but all good.,liked,listener,yes
86,979083,6431-a,yes,yes,,loved,listener,yes
87,1066287,6431-a,no,confused,"I thought they were human until they thought I was a robot and started asking me questions so now I think they were a robot. I didn&quotechart know if I was allowed to say the colors&quotechar names so I said stuff like ""pig"" and ""apple."" I think a little bit of better instructions would have been better.",okay,speaker,yes
