gameid,time,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome
1124-1,1459877206546,1,closer,distr2,248,92,50,3,1,target,226,81,50,1,2,distr1,283,87,50,2,3,19,10,17,false
1124-1,1459877215560,2,equal,target,249,25,50,1,2,distr2,54,53,50,3,3,distr1,129,66,50,2,1,58,61,25,true
1124-1,1459877234848,3,closer,distr2,291,59,50,3,3,target,301,57,50,2,2,distr1,302,86,50,1,1,6,5,10,false
1124-1,1459877244759,4,further,distr1,85,21,50,2,1,target,87,66,50,1,2,distr2,299,29,50,3,3,19,80,57,false
1124-1,1459877260559,5,equal,target,156,84,50,1,3,distr2,239,87,50,2,2,distr1,57,64,50,3,1,29,73,92,true
1124-1,1459877272775,6,equal,target,40,7,50,1,1,distr1,288,10,50,2,2,distr2,58,62,50,3,3,21,31,52,true
1124-1,1459877284039,7,further,target,82,9,50,1,1,distr1,139,23,50,2,2,distr2,295,80,50,3,3,13,52,46,true
1124-1,1459877298070,8,further,target,108,16,50,2,1,distr2,78,99,50,1,3,distr1,153,12,50,3,2,9,32,38,true
1124-1,1459877308816,9,further,target,5,45,50,1,2,distr2,185,63,50,2,1,distr1,20,72,50,3,3,15,55,53,true
1124-1,1459877321157,10,equal,target,215,13,50,3,3,distr1,164,81,50,2,2,distr2,92,84,50,1,1,39,50,21,true
1124-1,1459877330982,11,equal,target,229,31,50,1,3,distr2,347,52,50,3,1,distr1,172,65,50,2,2,44,33,71,true
1124-1,1459877348021,12,closer,target,116,59,50,2,1,distr2,160,77,50,3,3,distr1,140,86,50,1,2,9,15,12,true
1124-1,1459877368243,13,further,target,76,15,50,3,2,distr2,285,51,50,1,3,distr1,18,4,50,2,1,18,58,31,true
1124-1,1459877394556,14,further,target,311,17,50,1,1,distr1,285,18,50,3,3,distr2,113,59,50,2,2,5,67,69,true
1124-1,1459877410628,15,equal,target,209,44,50,1,2,distr2,85,74,50,2,1,distr1,264,61,50,3,3,27,61,98,true
1124-1,1459877422292,16,equal,target,210,95,50,1,3,distr2,45,48,50,3,2,distr1,192,50,50,2,1,21,58,42,true
1124-1,1459877437901,17,equal,target,50,48,50,3,3,distr1,289,9,50,2,1,distr2,176,62,50,1,2,43,35,44,true
1124-1,1459877457645,18,further,target,116,8,50,2,1,distr1,104,35,50,3,3,distr2,304,75,50,1,2,18,54,84,true
1124-1,1459877468091,19,further,target,113,21,50,3,3,distr1,145,34,50,2,2,distr2,354,41,50,1,1,7,53,61,true
1124-1,1459877480228,20,closer,target,264,1,50,2,1,distr2,236,11,50,1,2,distr1,200,11,50,3,3,9,11,14,true
1124-1,1459877488787,21,closer,distr2,315,71,50,3,1,target,326,78,50,1,3,distr1,343,28,50,2,2,14,7,17,false
1124-1,1459877508563,22,further,target,93,2,50,3,3,distr1,10,5,50,2,1,distr2,42,99,50,1,2,9,35,35,true
1124-1,1459877516262,23,further,target,25,17,50,2,2,distr1,68,0,50,1,3,distr2,312,48,50,3,1,13,34,27,true
1124-1,1459877526355,24,further,target,120,39,50,2,2,distr2,179,65,50,1,3,distr1,131,81,50,3,1,14,27,30,true
1124-1,1459877536754,25,closer,target,84,4,50,2,1,distr2,81,16,50,3,3,distr1,39,17,50,1,2,11,12,13,true
1124-1,1459877550507,26,closer,target,332,43,50,2,1,distr2,189,5,50,1,2,distr1,307,61,50,3,3,13,19,15,true
1124-1,1459877556618,27,closer,target,350,88,50,2,3,distr2,19,34,50,1,1,distr1,355,23,50,3,2,19,19,14,true
1124-1,1459877568858,28,closer,target,299,44,50,3,1,distr2,297,84,50,1,3,distr1,328,78,50,2,2,14,9,16,true
1124-1,1459877578418,29,further,target,14,70,50,2,3,distr2,302,57,50,3,1,distr1,21,34,50,1,2,13,40,38,true
1124-1,1459877586169,30,further,target,93,60,50,3,2,distr1,85,86,50,2,1,distr2,351,41,50,1,3,9,70,75,true
1124-1,1459877595593,31,equal,target,336,6,50,3,1,distr2,166,67,50,1,2,distr1,90,55,50,2,3,43,43,22,true
1124-1,1459877604881,32,further,distr1,93,14,50,3,3,distr2,299,80,50,2,2,target,162,51,50,1,1,19,51,62,false
1124-1,1459877628913,33,closer,target,46,38,50,3,3,distr2,32,35,50,2,2,distr1,44,62,50,1,1,8,11,16,true
1124-1,1459877668913,34,closer,distr2,263,39,50,3,3,target,290,26,50,2,2,distr1,303,50,50,1,1,10,10,15,false
1124-1,1459877676889,35,equal,target,6,92,50,2,3,distr1,289,48,50,1,1,distr2,125,26,50,3,2,41,62,49,true
1124-1,1459877688639,36,further,target,83,70,50,1,1,distr1,116,57,50,2,2,distr2,186,80,50,3,3,11,42,39,true
1124-1,1459877694569,37,further,target,210,34,50,3,2,distr2,116,17,50,1,3,distr1,276,1,50,2,1,18,35,23,true
1124-1,1459877719800,38,further,target,146,11,50,3,3,distr2,301,78,50,2,1,distr1,96,21,50,1,2,12,36,71,true
1124-1,1459877729047,39,closer,target,20,10,50,3,2,distr2,337,19,50,1,3,distr1,243,5,50,2,1,12,16,16,true
1124-1,1459877735759,40,equal,target,27,28,50,3,1,distr2,131,12,50,2,3,distr1,163,98,50,1,2,48,27,30,true
1124-1,1459877745055,41,closer,target,241,57,50,2,1,distr1,267,52,50,3,3,distr2,279,77,50,1,2,9,14,7,true
1124-1,1459877764335,42,closer,distr2,178,31,50,1,1,distr1,188,15,50,2,3,target,171,42,50,3,2,17,6,12,false
1124-1,1459877773943,43,equal,target,245,82,50,3,1,distr1,246,8,50,2,2,distr2,317,61,50,1,3,30,28,25,true
1124-1,1459877785822,44,equal,target,159,24,50,1,1,distr2,149,78,50,2,3,distr1,262,5,50,3,2,28,23,41,true
1124-1,1459877793597,45,equal,target,185,8,50,2,2,distr1,82,94,50,3,1,distr2,278,73,50,1,3,42,23,103,true
1124-1,1459877814455,46,equal,target,167,10,50,1,1,distr2,348,99,50,2,2,distr1,131,98,50,3,3,38,44,91,true
1124-1,1459877825950,47,equal,target,18,84,50,1,1,distr2,142,51,50,3,2,distr1,193,25,50,2,3,43,65,32,true
1124-1,1459877838255,48,closer,target,149,48,50,3,1,distr2,166,77,50,1,2,distr1,142,95,50,2,3,17,11,17,true
1124-1,1459877853389,49,closer,target,121,24,50,2,2,distr2,100,28,50,3,1,distr1,87,10,50,1,3,13,5,13,true
1124-1,1459877868045,50,equal,target,63,62,50,2,3,distr2,161,2,50,1,1,distr1,18,98,50,3,2,51,35,33,true
8235-6,1459877229621,1,further,target,105,56,50,1,1,distr2,227,79,50,2,2,distr1,71,67,50,3,3,14,71,90,true
8235-6,1459877241811,2,equal,target,116,35,50,2,1,distr1,65,75,50,3,2,distr2,327,31,50,1,3,23,66,70,true
8235-6,1459877249756,3,equal,target,8,61,50,3,2,distr2,109,65,50,1,1,distr1,285,65,50,2,3,39,72,99,true
8235-6,1459877257613,4,equal,target,52,3,50,1,1,distr2,209,73,50,2,3,distr1,319,71,50,3,2,34,30,43,true
8235-6,1459877283191,5,closer,target,21,33,50,3,3,distr2,20,10,50,1,2,distr1,350,25,50,2,1,17,12,17,true
8235-6,1459877293890,6,equal,target,228,30,50,1,1,distr2,179,12,50,3,2,distr1,322,98,50,2,3,35,26,25,true
8235-6,1459877307724,7,closer,target,298,0,50,3,1,distr2,348,12,50,1,2,distr1,227,21,50,2,3,17,14,19,true
8235-6,1459877330182,8,closer,target,164,84,50,3,1,distr1,108,54,50,1,3,distr2,120,40,50,2,2,18,19,6,true
8235-6,1459877341290,9,further,target,51,33,50,3,3,distr2,335,41,50,1,2,distr1,72,49,50,2,1,14,49,66,true
8235-6,1459877386798,10,closer,distr2,43,0,50,2,2,distr1,179,16,50,3,3,target,106,6,50,1,1,11,10,15,false
8235-6,1459877399936,11,closer,target,90,54,50,2,1,distr1,74,23,50,3,2,distr2,95,26,50,1,3,15,13,5,true
8235-6,1459877412931,12,equal,target,47,39,50,1,3,distr1,231,3,50,2,1,distr2,320,24,50,3,2,29,47,21,true
8235-6,1459877422020,13,equal,target,14,53,50,1,2,distr2,53,15,50,2,3,distr1,138,67,50,3,1,65,29,28,true
8235-6,1459877431485,14,closer,target,316,3,50,3,1,distr2,215,31,50,2,2,distr1,253,16,50,1,3,15,18,13,true
8235-6,1459877443841,15,further,target,214,20,50,2,3,distr1,181,20,50,3,2,distr2,168,84,50,1,1,18,40,26,true
8235-6,1459877454170,16,further,target,254,40,50,1,1,distr1,221,60,50,2,3,distr2,134,39,50,3,2,13,55,54,true
8235-6,1459877472016,17,further,target,337,59,50,1,3,distr1,317,67,50,2,1,distr2,43,43,50,3,2,12,49,58,true
8235-6,1459877494483,18,closer,target,138,55,50,3,2,distr1,83,27,50,1,3,distr2,162,35,50,2,1,15,15,17,true
8235-6,1459877515389,19,closer,target,101,80,50,3,2,distr2,96,57,50,2,3,distr1,138,71,50,1,1,8,7,9,true
8235-6,1459877534591,20,closer,target,276,73,50,1,3,distr1,292,45,50,3,1,distr2,316,81,50,2,2,10,19,12,true
8235-6,1459877566880,21,further,target,6,68,50,3,2,distr2,33,74,50,1,3,distr1,348,63,50,2,1,13,27,37,true
8235-6,1459877599853,22,further,target,285,30,50,2,3,distr1,298,56,50,3,2,distr2,163,96,50,1,1,10,59,62,true
8235-6,1459877614379,23,closer,target,126,48,50,2,3,distr1,165,98,50,1,2,distr2,153,70,50,3,1,19,10,10,true
8235-6,1459877627085,24,closer,target,299,53,50,2,2,distr1,300,29,50,1,1,distr2,286,35,50,3,3,8,8,5,true
8235-6,1459877648648,25,closer,target,339,13,50,2,2,distr2,6,13,50,3,3,distr1,357,52,50,1,1,19,6,19,true
8235-6,1459877672422,26,closer,target,67,16,50,2,3,distr1,130,31,50,3,1,distr2,76,32,50,1,2,15,10,12,true
8235-6,1459877685079,27,further,target,254,20,50,3,2,distr1,248,46,50,1,3,distr2,290,99,50,2,1,15,23,22,true
8235-6,1459877700345,28,equal,target,94,24,50,2,3,distr2,115,81,50,3,1,distr1,169,76,50,1,2,23,23,23,true
8235-6,1459877723056,29,further,target,238,64,50,2,3,distr2,32,94,50,1,2,distr1,238,50,50,3,1,5,67,63,true
8235-6,1459877730867,30,equal,target,191,5,50,3,2,distr2,4,19,50,2,3,distr1,82,78,50,1,1,40,24,54,true
8235-6,1459877743729,31,further,target,250,35,50,3,1,distr1,265,54,50,1,3,distr2,355,72,50,2,2,8,38,39,true
8235-6,1459877751978,32,further,target,162,79,50,2,1,distr2,51,50,50,3,2,distr1,97,68,50,1,3,18,32,22,true
8235-6,1459877761004,33,closer,target,88,50,50,2,2,distr1,138,58,50,3,3,distr2,150,79,50,1,1,11,15,6,true
8235-6,1459877789997,34,further,target,128,80,50,3,2,distr2,8,23,50,2,3,distr1,100,88,50,1,1,5,59,59,true
8235-6,1459877807554,35,further,target,148,32,50,3,2,distr2,359,1,50,2,3,distr1,160,82,50,1,1,17,27,37,true
8235-6,1459877823236,36,equal,target,58,52,50,1,2,distr1,350,6,50,3,3,distr2,209,62,50,2,1,37,64,26,true
8235-6,1459877831685,37,equal,target,143,17,50,2,2,distr1,6,40,50,3,1,distr2,327,87,50,1,3,45,61,22,true
8235-6,1459877843586,38,closer,target,195,51,50,1,1,distr1,193,95,50,3,3,distr2,194,78,50,2,2,11,6,5,true
8235-6,1459877853451,39,equal,target,101,89,50,2,1,distr2,277,90,50,1,3,distr1,16,14,50,3,2,49,109,36,true
8235-6,1459877868261,40,closer,target,105,78,50,2,3,distr2,147,84,50,1,1,distr1,76,89,50,3,2,11,9,18,true
8235-6,1459877875847,41,equal,target,340,64,50,2,1,distr1,251,7,50,1,3,distr2,64,18,50,3,2,27,49,31,true
8235-6,1459877885600,42,closer,target,71,64,50,3,2,distr2,107,28,50,1,3,distr1,130,67,50,2,1,16,19,15,true
8235-6,1459877895321,43,further,target,231,32,50,3,1,distr1,206,39,50,1,2,distr2,354,47,50,2,3,15,34,44,true
8235-6,1459877903219,44,equal,target,125,96,50,1,1,distr2,237,49,50,2,3,distr1,12,77,50,3,2,79,75,48,true
8235-6,1459877911419,45,further,target,1,42,50,2,2,distr1,352,11,50,1,1,distr2,126,82,50,3,3,17,77,55,true
8235-6,1459877919540,46,equal,target,285,33,50,3,3,distr2,355,29,50,2,2,distr1,161,58,50,1,1,52,22,61,true
8235-6,1459877950282,47,further,target,136,13,50,3,3,distr1,99,19,50,1,1,distr2,359,87,50,2,2,7,51,54,true
8235-6,1459877968068,48,further,target,164,11,50,3,2,distr2,295,47,50,1,1,distr1,129,11,50,2,3,6,31,38,true
8235-6,1459877976405,49,equal,target,16,68,50,2,1,distr1,216,80,50,1,2,distr2,280,72,50,3,3,48,46,25,true
8235-6,1459878000124,50,equal,target,130,36,50,2,1,distr2,279,99,50,1,2,distr1,320,96,50,3,3,84,57,22,true
2007-2,1459877283231,1,further,target,96,79,50,2,3,distr1,139,94,50,1,1,distr2,251,75,50,3,2,8,79,78,true
