workerid,totalLength,gameID,thinksHuman,confused,comments,ratePartner,role,nativeEnglish,score
0,572478,3843-c,yes,yes,NA,loved,listener,yes,NA
1,535364,7555-2,yes,yes,NA,okay,listener,yes,NA
2,664826,3540-a,yes,yes,NA,liked,speaker,yes,NA
3,1083450,9346-5,yes,yes,NA,liked,speaker,yes,NA
4,1070736,9346-5,yes,yes,i loved this hit!!!,loved,listener,yes,NA
5,839051,9272-c,yes,yes,None,loved,listener,no,NA
6,926259,9272-c,yes,yes,"Thanks, that was interesting.",liked,speaker,yes,NA
7,724281,0881-5,yes,yes,NA,liked,listener,yes,NA
8,866198,0881-5,yes,yes,"That was really fun, but it is a little underpaid.",loved,speaker,yes,NA
9,137167,1168-a,yes,yes,"My partner never responded to me saying hello, and didn&quotechart provide any instructions and then disconnected.",not much,listener,yes,NA
10,754285,2470-e,yes,yes,NA,liked,speaker,yes,NA
11,616924,2470-e,yes,yes,that was fun!,loved,listener,yes,NA
12,669419,4793-5,no,yes,NA,not much,listener,yes,NA
13,706644,4793-5,yes,yes,NA,loved,speaker,yes,NA
14,654194,5613-0,yes,yes,NA,okay,listener,yes,NA
15,739307,5613-0,yes,yes,"Thank you, it was interesting!",loved,speaker,yes,NA
16,765633,7850-e,yes,yes,"None, everything went great. Thanks!",loved,listener,yes,NA
17,774970,7850-e,yes,yes,"Enjoyable, thank you and good luck!",liked,speaker,yes,NA
18,1022136,4927-d,yes,yes,Great fun!,loved,speaker,yes,NA
19,957995,4927-d,no,yes,My partner was awesome!!,loved,listener,yes,NA
20,587493,8799-c,no,yes,Thanks!,liked,listener,yes,NA
21,740672,8799-c,yes,yes,NA,liked,speaker,yes,NA
22,286237,7871-d,yes,yes,"The experiment ended at round 9/50, I&quotecharm not sure if that was an error or not.",okay,speaker,yes,NA
23,619346,4117-0,no,yes,NA,okay,speaker,yes,NA
24,600541,4117-0,no,yes,NA,liked,listener,yes,NA
25,1228673,7783-7,yes,yes,I hope you have access to the chat logs because he wasted both our time for not reading the directions initially.,not much,listener,yes,NA
26,990692,6289-e,yes,yes,NA,loved,listener,yes,NA
27,1334358,7783-7,no,confused,my letters wouldnt work lol it was ard to describe alot,okay,speaker,yes,NA
28,1030021,6289-e,yes,yes,Thank you -- this was challenging and fun,liked,speaker,yes,NA
29,706087,3720-1,no,yes,NA,not much,listener,yes,NA
30,738479,3720-1,yes,yes,no,liked,speaker,yes,NA
31,1799613,6983-1,yes,yes,"Once it got going properly it was VERY enjoyable. Odd, but interesting. Sorry I cannot write more, but my timer is about to expire. Took close to the full hour because of a couple glitches. Thanks.",loved,listener,yes,NA
32,621701,5957-a,yes,yes,None,okay,speaker,yes,NA
33,178343,2714-3,yes,yes,no,okay,speaker,yes,NA
34,895983,9114-e,yes,yes,"This was fun! Hopefully, there are more HITs that involve 2 or more turkers. It makes turking enjoyable!",loved,speaker,yes,NA
35,650895,9114-e,yes,yes,NA,okay,listener,yes,NA
36,671322,5507-1,no,yes,NA,loved,listener,yes,NA
37,741535,5507-1,yes,yes,"that was fun, thanks!",liked,speaker,yes,NA
38,108859,2364-d,yes,yes,I thought there would be 50 rounds?  It stopped after 4?  Did I do something wrong?,liked,listener,yes,NA
39,1338040,7584-c,yes,yes,"really nice. finally felt I was working w/ a real person. 99.9% of time you feel it is computer. Thanks, very intersting!",loved,listener,yes,NA
40,73615,0223-1,yes,yes,It skipped straight to the end and I never worked with a partner?,okay,speaker,yes,NA
41,996070,3412-4,yes,yes,NA,loved,speaker,yes,NA
42,839379,3412-4,yes,yes,none thank you,liked,listener,yes,NA
