"role","gameid","workerid_uniq"
"listener","3843-c",156
"listener","7555-2",37
"speaker","3540-a",73
"speaker","9346-5",77
"listener","9346-5",107
"listener","9272-c",26
"speaker","9272-c",85
"listener","0881-5",74
"speaker","0881-5",27
"listener","1168-a",111
"speaker","2470-e",48
"listener","2470-e",188
"listener","4793-5",139
"speaker","4793-5",138
"listener","5613-0",104
"speaker","5613-0",102
"listener","7850-e",89
"speaker","7850-e",131
"speaker","4927-d",158
"listener","4927-d",112
"listener","8799-c",179
"speaker","8799-c",63
"speaker","7871-d",161
"speaker","4117-0",64
"listener","4117-0",109
"listener","7783-7",197
"listener","6289-e",21
"speaker","7783-7",130
"speaker","6289-e",18
"listener","3720-1",38
"speaker","3720-1",182
"listener","6983-1",159
"speaker","5957-a",99
"speaker","2714-3",16
"speaker","9114-e",88
"listener","9114-e",68
"listener","5507-1",58
"speaker","5507-1",128
"listener","2364-d",122
"listener","7584-c",121
"speaker","0223-1",195
"speaker","3412-4",118
"listener","3412-4",106
"listener","7883-3",91
"speaker","7883-3",8
"listener","1632-b",3
"speaker","1632-b",157
"listener","3784-6",115
"speaker","3784-6",155
"speaker","1325-8",82
"listener","1325-8",153
"listener","0811-5",13
"speaker","0811-5",169
"listener","7314-4",190
"speaker","7314-4",129
"speaker","4139-d",181
"listener","4139-d",171
"listener","2400-e",71
"speaker","2400-e",98
"listener","8088-6",35
"speaker","8088-6",95
"speaker","2780-1",133
"listener","2780-1",57
"speaker","3618-3",96
"listener","3618-3",176
"listener","4607-5",125
"speaker","4607-5",154
"listener","5800-8",4
"speaker","5800-8",145
"listener","4647-2",143
"speaker","4647-2",189
"speaker","5248-d",177
"listener","5248-d",39
"speaker","0559-0",152
"listener","9536-4",43
"speaker","9536-4",83
"listener","9666-b",67
"speaker","9666-b",160
"speaker","6442-4",51
"listener","6442-4",92
"speaker","2267-6",187
"listener","2267-6",19
"speaker","7614-6",194
"listener","7614-6",174
"speaker","6888-9",175
"listener","6888-9",52
"listener","6431-a",93
"speaker","6431-a",105
"listener","4042-9",66
"speaker","4042-9",113
"speaker","4522-0",54
"listener","4522-0",167
"listener","3792-7",185
"speaker","3792-7",36
"speaker","4178-b",79
"listener","4178-b",31
"speaker","9378-9",7
"listener","9817-a",127
"speaker","9817-a",25
"speaker","7991-e",135
"speaker","2653-0",192
"listener","2653-0",172
"speaker","8730-c",94
"speaker","6305-1",55
"listener","6305-1",147
"speaker","4845-7",101
"speaker","7975-c",86
"speaker","3071-c",166
"listener","3071-c",60
