gameid,time,roundNum,sender,contents
1124-1,1459877203862,1,speaker,"The darker blue one"
1124-1,1459877214034,2,speaker,"purple"
1124-1,1459877223719,3,speaker,"Medium pink"
1124-1,1459877227433,3,speaker,"the medium dark one"
1124-1,1459877240480,4,speaker,"lime"
1124-1,1459877257997,5,speaker,"Mint green."
1124-1,1459877267242,6,speaker,"Mud brown"
1124-1,1459877278380,7,speaker,"Mud brown"
1124-1,1459877294720,8,speaker,"Camo green"
1124-1,1459877305438,9,speaker,"Darkish red"
1124-1,1459877317105,10,speaker,"Grey"
1124-1,1459877326449,11,speaker,"Purple"
1124-1,1459877341443,12,speaker,"Darkest shade of green, forest green"
1124-1,1459877360202,13,speaker,"One of the brown ones, the lighter shaded one"
1124-1,1459877388314,14,speaker,"The more vibrantly red one... not the more purple one"
1124-1,1459877405477,15,speaker,"blue"
1124-1,1459877420301,16,speaker,"Plain blue"
1124-1,1459877433894,17,speaker,"Yellowish brownish orangish yellow"
1124-1,1459877434580,17,speaker,"lol"
1124-1,1459877446591,18,listener,"that was quite the description"
1124-1,1459877446672,18,speaker,"Like that description? Haha"
1124-1,1459877450465,18,speaker,"Thank you."
1124-1,1459877453536,18,speaker,"Grey"
1124-1,1459877465029,19,speaker,"Camo green"
1124-1,1459877476435,20,speaker,"Brown"
1124-1,1459877486554,21,speaker,"Neon pink"
1124-1,1459877495515,22,speaker,"oopsies. I think they're both a bit neon"
1124-1,1459877505647,22,speaker,"the greyish one that's not the browner one"
1124-1,1459877513986,23,speaker,"Brown"
1124-1,1459877525206,24,speaker,"forest green"
1124-1,1459877534343,25,speaker,"greyest one"
1124-1,1459877544164,26,speaker,"darker red"
1124-1,1459877555342,27,speaker,"red"
1124-1,1459877564218,28,speaker,"purple, darker one"
1124-1,1459877573831,29,speaker,"orange"
1124-1,1459877583958,30,speaker,"dark green"
1124-1,1459877594082,31,speaker,"grey"
1124-1,1459877603545,32,speaker,"green"
1124-1,1459877621758,33,speaker,"brown. not the yellow one or classic brown one, the weirder one"
1124-1,1459877640828,34,listener,"I like the weirder one"
1124-1,1459877662786,34,speaker,"Hahaha. Me too. This one is purple. Not neon and not lavender"
1124-1,1459877673645,35,speaker,"Red"
1124-1,1459877686121,36,speaker,"Lime green, not forest green"
1124-1,1459877693574,37,speaker,"blue"
1124-1,1459877712817,38,speaker,"This color doesn't even have a name. It's one of the greenish ones, not the camo one"
1124-1,1459877727869,39,speaker,"light brown"
1124-1,1459877734028,40,speaker,"brown"
1124-1,1459877743751,41,speaker,"blue"
1124-1,1459877758186,42,speaker,"lightest shade of teal/blue/green"
1124-1,1459877772714,43,speaker,"blue"
1124-1,1459877783344,44,speaker,"dark yucky green"
1124-1,1459877790884,45,speaker,"grey"
1124-1,1459877799660,46,speaker,"grey"
1124-1,1459877819765,47,speaker,"red"
1124-1,1459877837362,48,speaker,"dark green"
1124-1,1459877847202,49,speaker,"not camo and not brown"
1124-1,1459877866326,50,speaker,"YELLOW!!!!"
8235-6,1459877227080,1,speaker,"select the bright green, not the olive"
8235-6,1459877239384,2,speaker,"green"
8235-6,1459877248368,3,speaker,"red"
8235-6,1459877256462,4,speaker,"grey"
8235-6,1459877278107,5,speaker,"brownish-cream; not grey or pinkish"
8235-6,1459877292185,6,speaker,"blue"
8235-6,1459877304567,7,speaker,"grey (you're doing great)"
8235-6,1459877315738,8,listener,"thanks. good descriptions."
8235-6,1459877326552,8,speaker,"teal (not the two that are more green)"
8235-6,1459877339111,9,speaker,"brownish"
8235-6,1459877380491,10,speaker,"uhh, the grey color that is more like the blue than a really normal grey"
8235-6,1459877398476,11,speaker,"the bright green"
8235-6,1459877411308,12,speaker,"brownish"
8235-6,1459877420743,13,speaker,"reddish"
8235-6,1459877430477,14,speaker,"grey"
8235-6,1459877440439,15,speaker,"dark blue"
8235-6,1459877452528,16,speaker,"purple"
8235-6,1459877469143,17,speaker,"dark pink; not bright pink"
8235-6,1459877492779,18,speaker,"brightest green"
8235-6,1459877512927,19,speaker,"brightest green"
8235-6,1459877531108,20,speaker,"dark purple (good job on the last two, by the way)"
8235-6,1459877542680,21,listener,"thanks"
8235-6,1459877556453,21,speaker,"dark orange (not the red, and not the lighter orange)"
8235-6,1459877591036,22,speaker,"purple; not pink or teal (good on the last one)"
8235-6,1459877610659,23,speaker,"darkest green"
8235-6,1459877625200,24,speaker,"brightest pink"
8235-6,1459877644570,25,speaker,"grey; not grey-brown or red"
