"gameid","time","roundNum","condition","clickStatus","clickColH","clickColS","clickColL","clickLocS","clickLocL","alt1Status","alt1ColH","alt1ColS","alt1ColL","alt1LocS","alt1LocL","alt2Status","alt2ColH","alt2ColS","alt2ColL","alt2LocS","alt2LocL","targetD1Diff","targetD2Diff","D1D2Diff","outcome"
"8994-5","1476489831780","36","equal","target","36","98","50","1","1","distr1","341","98","50","2","2","distr2","317","2","50","3","3","41","35","28","true"
"8994-5","1476489851843","37","further","distr1","340","16","50","2","2","distr2","152","19","50","1","1","target","8","20","50","3","3","9","39","42","false"
"8994-5","1476489859404","38","equal","distr1","66","94","50","1","3","distr2","121","60","50","2","1","target","35","76","50","3","2","36","45","23","false"
"8994-5","1476489869916","39","equal","target","277","1","50","2","1","distr1","274","30","50","1","3","distr2","144","37","50","3","2","24","29","48","true"
"8994-5","1476489887723","40","closer","distr2","296","85","50","3","1","target","291","34","50","1","2","distr1","318","38","50","2","3","8","13","15","false"
"8994-5","1476489894976","41","equal","target","278","54","50","1","2","distr1","223","48","50","2","3","distr2","154","38","50","3","1","21","51","45","true"
"8994-5","1476489903097","42","closer","target","100","46","50","2","2","distr1","66","52","50","1","3","distr2","66","23","50","3","1","13","15","14","true"
"8994-5","1476489911110","43","equal","target","351","51","50","2","2","distr2","188","91","50","1","1","distr1","87","26","50","3","3","55","75","38","true"
"8994-5","1476489917401","44","equal","target","138","84","50","3","3","distr2","1","32","50","1","1","distr1","193","78","50","2","2","48","72","57","true"
"8994-5","1476489926504","45","further","target","96","92","50","3","3","distr2","35","79","50","1","1","distr1","67","87","50","2","2","14","47","35","true"
"8994-5","1476489935050","46","closer","target","211","92","50","2","1","distr1","206","21","50","1","3","distr2","193","23","50","3","2","10","19","8","true"
"8994-5","1476489946153","47","closer","target","138","66","50","1","1","distr2","146","60","50","2","3","distr1","106","25","50","3","2","16","5","14","true"
"8994-5","1476489954008","48","further","target","237","54","50","2","2","distr2","79","83","50","1","3","distr1","229","36","50","3","1","11","79","70","true"
"8994-5","1476489960680","49","equal","target","56","12","50","1","2","distr1","87","99","50","2","1","distr2","252","34","50","3","3","35","45","72","true"
"8994-5","1476489973432","50","closer","target","231","43","50","2","3","distr2","214","58","50","1","1","distr1","223","45","50","3","2","6","12","6","true"
"2641-2","1476489510197","1","further","target","48","13","50","2","1","distr2","176","67","50","1","2","distr1","26","34","50","3","3","16","31","44","true"
