gameid,time,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome
2780-1,1459886493168,1,equal,target,291,29,50,3,2,distr2,99,78,50,1,3,distr1,66,30,50,2,1,59,85,21,true
2780-1,1459886528301,2,further,target,141,74,50,3,2,distr2,324,38,50,1,3,distr1,102,74,50,2,1,8,83,83,true
2780-1,1459886552945,3,equal,target,182,72,50,2,2,distr2,225,92,50,1,1,distr1,164,96,50,3,3,21,51,66,true
2780-1,1459886609486,4,equal,distr1,199,47,50,1,1,distr2,17,63,50,2,3,target,88,36,50,3,2,44,49,49,false
2780-1,1459886632324,5,equal,target,93,17,50,1,3,distr1,163,94,50,2,2,distr2,193,67,50,3,1,28,34,36,true
2780-1,1459886662229,6,equal,distr1,111,64,50,3,3,distr2,335,87,50,1,1,target,156,17,50,2,2,27,57,89,false
2780-1,1459886692517,7,further,distr2,50,90,50,2,1,distr1,11,57,50,1,3,target,4,62,50,3,2,5,51,46,false
2780-1,1459886743927,8,further,distr2,202,44,50,2,1,distr1,283,87,50,1,3,target,312,53,50,3,2,13,43,33,false
2780-1,1459886758423,9,closer,target,131,11,50,1,1,distr2,69,7,50,2,3,distr1,79,24,50,3,2,12,10,14,true
2780-1,1459886847974,10,closer,distr2,40,26,50,2,3,target,90,7,50,1,2,distr1,68,3,50,3,1,6,16,15,false
2780-1,1459886866474,11,further,distr1,114,2,50,2,2,distr2,283,48,50,1,3,target,124,7,50,3,1,8,37,31,false
2780-1,1459886883842,12,closer,target,209,27,50,1,3,distr1,232,49,50,2,1,distr2,243,16,50,3,2,15,13,15,true
2780-1,1459886891938,13,closer,target,173,39,50,3,3,distr1,136,48,50,1,1,distr2,110,11,50,2,2,19,17,19,true
2780-1,1459886926908,14,further,distr2,213,66,50,3,2,distr1,265,56,50,1,1,target,249,93,50,2,3,10,26,24,false
2780-1,1459886955696,15,equal,distr2,80,64,50,1,3,distr1,183,30,50,2,2,target,18,54,50,3,1,43,52,36,false
2780-1,1459886993876,16,equal,distr1,350,3,50,2,2,target,280,89,50,1,1,distr2,85,80,50,3,3,32,103,43,false
2780-1,1459887004056,17,further,target,184,10,50,2,1,distr1,186,27,50,1,2,distr2,133,95,50,3,3,9,40,40,true
2780-1,1459887022174,18,further,distr2,46,10,50,2,2,distr1,165,48,50,1,3,target,153,69,50,3,1,12,31,26,false
2780-1,1459887050330,19,closer,target,9,63,50,3,2,distr1,358,74,50,1,1,distr2,18,97,50,2,3,5,11,15,true
2780-1,1459887067863,20,further,distr1,49,52,50,1,3,target,70,83,50,2,2,distr2,305,90,50,3,1,19,93,71,false
2780-1,1459887124963,21,closer,target,265,30,50,3,1,distr1,281,80,50,1,2,distr2,226,97,50,2,3,14,17,16,true
2780-1,1459887136879,22,closer,target,295,94,50,1,2,distr1,269,92,50,2,1,distr2,284,74,50,3,3,18,10,9,true
2780-1,1459887149563,23,closer,distr2,69,26,50,3,3,target,138,56,50,1,2,distr1,115,41,50,2,1,6,19,14,false
2780-1,1459887159799,24,equal,distr2,190,81,50,1,3,target,337,87,50,2,2,distr1,12,9,50,3,1,25,76,41,false
2780-1,1459887185264,25,further,target,330,70,50,3,3,distr1,293,76,50,1,1,distr2,89,71,50,2,2,18,87,98,true
2780-1,1459887197657,26,further,target,109,43,50,2,2,distr1,75,76,50,1,3,distr2,189,8,50,3,1,16,30,39,true
2780-1,1459887212525,27,closer,target,26,98,50,2,2,distr2,15,60,50,1,3,distr1,8,82,50,3,1,16,14,7,true
2780-1,1459887221993,28,equal,target,156,42,50,2,1,distr2,225,79,50,1,3,distr1,204,72,50,3,2,38,53,25,true
