"gameid","time","roundNum","sender","contents"
"8994-5","1476489830706","36","speaker","yellow"
"8994-5","1476489847007","37","speaker","brown"
"8994-5","1476489858121","38","speaker","red"
"8994-5","1476489868682","39","speaker","concrete though"
"8994-5","1476489885986","40","speaker","the purpleish that is purple . i <unk> ~ ~ ~"
"8994-5","1476489893674","41","speaker","the purp you job ."
"8994-5","1476489900535","42","speaker","green"
"8994-5","1476489909858","43","speaker","red"
"8994-5","1476489916093","44","speaker","green"
"8994-5","1476489924928","45","speaker","green green"
"8994-5","1476489931875","46","speaker","dark blue"
"8994-5","1476489944668","47","speaker","bright green"
"8994-5","1476489952805","48","speaker","bright blue"
"8994-5","1476489959541","49","speaker","gray"
"8994-5","1476489969988","50","speaker","blue slightly blue"
"2641-2","1476489508343","1","speaker","purplish"
"2641-2","1476489517143","2","speaker","green"
"2641-2","1476489540685","3","speaker","same as last time lol . ~ ~ baby"
"2641-2","1476489549408","4","speaker","teal . yellow"
"2641-2","1476489557987","5","speaker","orange"
"2641-2","1476489571015","6","speaker","dull purple"
"2641-2","1476489580634","7","speaker","green"
"2641-2","1476489588556","8","speaker","green"
"2641-2","1476489601437","9","speaker","choose the brightest of green"
"2641-2","1476489610824","10","speaker","green"
"2641-2","1476489621082","11","speaker","gray"
"2641-2","1476489632676","12","speaker","not the bright green . not the bright green"
"2641-2","1476489654179","13","speaker","brown"
"2641-2","1476489666796","14","speaker","pepto ~ brightest"
"2641-2","1476489680095","15","speaker","not the , that one of a <unk> color"
"2641-2","1476489717242","16","speaker","grayish blue"
"2641-2","1476489725904","17","speaker","it is the brighter purple"
"2641-2","1476489732903","18","speaker","orange"
"2641-2","1476489742698","19","speaker","sea green"
"2641-2","1476489750623","20","speaker","red"
"2641-2","1476489763348","21","speaker","<unk> ~ no sky or dirty purple"
"2641-2","1476489775245","22","speaker","grey purple"
"2641-2","1476489783981","23","speaker","bright blue"
"2641-2","1476489792864","24","speaker","red"
"2641-2","1476489804518","25","speaker","dullest purple"
"2641-2","1476489829136","26","speaker","green not the brightest"
"2641-2","1476489870754","27","speaker","blue water"
