"gameid","time","roundNum","sender","contents"
"8994-5","1476489830706","36","speaker","the color is more orange"
"8994-5","1476489847007","37","speaker","that's brownish ?"
"8994-5","1476489858121","38","speaker","orange"
"8994-5","1476489868682","39","speaker","shade of black"
"8994-5","1476489885986","40","speaker","deepest purple"
"8994-5","1476489893674","41","speaker","purp"
"8994-5","1476489900535","42","speaker","yellowish green"
"8994-5","1476489909858","43","speaker","red"
"8994-5","1476489916093","44","speaker","green"
"8994-5","1476489924928","45","speaker","green"
"8994-5","1476489931875","46","speaker","dull blue"
"8994-5","1476489944668","47","speaker","green"
"8994-5","1476489952805","48","speaker","boy blue"
"8994-5","1476489959541","49","speaker","grey"
"8994-5","1476489969988","50","speaker","light blue closer to if good job"
"2641-2","1476489508343","1","speaker","bright green"
"2641-2","1476489517143","2","speaker","pale gray"
"2641-2","1476489540685","3","speaker","grey"
"2641-2","1476489549408","4","speaker","blue"
"2641-2","1476489557987","5","speaker","gold"
"2641-2","1476489571015","6","speaker","middle than the one"
"2641-2","1476489580634","7","speaker","green"
"2641-2","1476489588556","8","speaker","green"
"2641-2","1476489601437","9","speaker","the dullest green , not dullest either"
"2641-2","1476489610824","10","speaker","green"
"2641-2","1476489621082","11","speaker","pink"
"2641-2","1476489632676","12","speaker","not muted , not darkest box"
"2641-2","1476489654179","13","speaker","yellow"
"2641-2","1476489666796","14","speaker","lime"
"2641-2","1476489680095","15","speaker","ugh . hard ~ closest to purplish grey"
"2641-2","1476489717242","16","speaker","closest to bold shade of neon"
"2641-2","1476489725904","17","speaker","in between blue"
"2641-2","1476489732903","18","speaker","red"
"2641-2","1476489742698","19","speaker","green"
"2641-2","1476489750623","20","speaker","orange"
"2641-2","1476489763348","21","speaker","dark baby blue , not the gray and not the purple one not pretty blue grey"
"2641-2","1476489775245","22","speaker","dark purple"
"2641-2","1476489783981","23","speaker","blue"
"2641-2","1476489792864","24","speaker","red"
"2641-2","1476489804518","25","speaker","darker eggplant"
"2641-2","1476489829136","26","speaker","not the bright green , and not bright ... the other one"
"2641-2","1476489870754","27","speaker","the color is the aqua one ~ dull ]"
"2641-2","1476489889950","28","speaker","bright green"
"2641-2","1476489906841","29","speaker","blue"
"2641-2","1476489986612","30","speaker","gray green"
"2641-2","1476489996447","31","speaker","the brightest one . non targets are you chose the color one with the most forest green , i see the target is lime green and more of a leaf in between between ~ ~ ~ ~ uhm ~ reen , and this one enough """""
"2641-2","1476490006417","32","speaker","dullest green"
"2641-2","1476490017100","33","speaker","the brighter shade of green"
"2641-2","1476490027609","34","speaker","mustard"
"2641-2","1476490036282","35","speaker","blue"
"2641-2","1476490047363","36","speaker","blue almost blue"
"2641-2","1476490070934","37","speaker","the dull slightly bluish lavender"
"2641-2","1476490082189","38","speaker","brownish grey"
"2641-2","1476490107043","39","speaker","blueish green"
"2641-2","1476490120375","40","speaker","greenish grey , not grey"
"2641-2","1476490131775","41","speaker","turquoise"
"2641-2","1476490139636","42","speaker","purple"
"2641-2","1476490149613","43","speaker","the most brighter , not bright pink or the brighter one"
"2641-2","1476490156818","44","speaker","red"
"2641-2","1476490169040","45","speaker","sorry . ~ grey"
"2641-2","1476490176814","46","speaker","orange"
"2641-2","1476490187226","47","speaker","muted green"
"2641-2","1476490203060","48","speaker","purple"
"2641-2","1476490221500","49","speaker","<unk> pink"
"2641-2","1476490233188","50","speaker","brown"
"4235-3","1476489554614","1","speaker","uh ~ darker army color"
"4235-3","1476489584237","2","speaker","blue"
"4235-3","1476489595552","3","speaker","grey"
"4235-3","1476489610393","4","speaker","grey"
"4235-3","1476489622917","5","speaker","blue"
"4235-3","1476489641821","6","speaker","purple"
"4235-3","1476489662007","7","speaker","gray grey"
"4235-3","1476489702628","8","speaker","brighter blue box"
"4235-3","1476489711269","9","speaker","them is like water ~"
"4235-3","1476489723453","10","speaker","red"
"4235-3","1476489735171","11","speaker","grapes"
"4235-3","1476489750482","12","speaker","this is most green"
"4235-3","1476489793904","13","speaker","green ~ bluish"
"4235-3","1476489831681","14","speaker","brightest"
"4235-3","1476489854644","15","speaker","red"
"4235-3","1476489866415","16","speaker","pink"
"4235-3","1476489888142","17","speaker","more bright green"
"4235-3","1476489902098","18","speaker","blue"
"4235-3","1476489915098","19","speaker","deepest ( not army"
"4235-3","1476489936746","20","speaker","greenest"
"4235-3","1476489981410","21","speaker","darkest blue"
"4235-3","1476489996152","22","speaker","pink"
"4235-3","1476490008998","23","speaker","olive hue ~ lizzard"
"4235-3","1476490039014","24","speaker","brightest"
"4235-3","1476490052703","25","speaker","this is closest to <unk> color of of two colors ."
"4235-3","1476490067112","26","speaker","tan"
"4235-3","1476490088142","27","speaker","dullest shade"
"4235-3","1476490101804","28","speaker","purple"
"4235-3","1476490133263","29","speaker","brown"
"4235-3","1476490172926","30","speaker","light teal"
"4235-3","1476490185696","31","speaker","hunting apparel"
"4235-3","1476490209979","32","speaker","brighter gay"
"4235-3","1476490250015","33","speaker","gray"
"4235-3","1476490277970","34","speaker","it's the target is the brighter purple one . ~ they look purple"
"4235-3","1476490308043","35","speaker","brightest , turquoise"
"4235-3","1476490330871","36","speaker","orangish more brownish"
"4235-3","1476490364255","37","speaker","pink"
"4235-3","1476490377387","38","speaker","grayest"
"4235-3","1476490400410","39","speaker","makes you thin of an aquarium? ~ think"
"4235-3","1476490416439","40","speaker","brown"
"4235-3","1476490425617","41","speaker","not the <unk> / bluish camoflage"
"4235-3","1476490442713","42","speaker","not blue"
"4235-3","1476490454694","43","speaker","good do you have an <unk> associated with the most blue-er color"
"4235-3","1476490469544","44","speaker","oh finish : pick the medium one , go ~ blue and <unk> <unk> ?"
"4235-3","1476490478872","45","speaker","grey"
"4235-3","1476490495565","46","speaker","blue"
"4235-3","1476490514460","47","speaker","it's the color of the two like ... similar to the green"
"4235-3","1476490526917","48","speaker","pink"
"4235-3","1476490550690","49","speaker","orange"
"4235-3","1476490564333","50","speaker","that one that does would done greyish"
"1369-5","1476489644583","1","speaker","robin's seahawks"
"1369-5","1476489820403","2","speaker","bright purple"
"1369-5","1476489907554","3","speaker","most blue"
"1369-5","1476489972802","4","speaker","bright blue"
"1369-5","1476490011734","5","speaker","not the bright purple"
"1369-5","1476490048042","6","speaker","teal that's some with the sky"
"1369-5","1476490098483","7","speaker","brite-ist green tone/"
"1369-5","1476490157940","8","speaker","yellow"
"1369-5","1476490183419","9","speaker","gj , this one is somewhat purple ."
"1369-5","1476490204883","10","speaker","denim"
"1369-5","1476490278963","11","speaker","grey"
"1369-5","1476490326817","12","speaker","lighter blue"
"1369-5","1476490364466","13","speaker","green"
"1369-5","1476490433388","14","speaker","<unk> sky"
"1369-5","1476490470159","15","speaker","blue grey"
"1369-5","1476490536045","16","speaker","purple"
"1369-5","1476490582144","17","speaker","brown"
"1369-5","1476490619040","18","speaker","orange brown"
"1369-5","1476490639484","19","speaker","green"
"1369-5","1476490666736","20","speaker","shade of black and not another pink"
"1369-5","1476490776711","21","speaker","target is grey , sort of blue one"
"1369-5","1476490882690","22","speaker","yucky green"
"1369-5","1476490979772","23","speaker","the target is more green ."
"1369-5","1476491024412","24","speaker","green"
"1369-5","1476491138244","25","speaker","closest to beige"
"1369-5","1476491204786","26","speaker","lighter less true blue"
"1369-5","1476491258960","27","speaker","green"
"1369-5","1476491285660","28","speaker","yellow"
"1369-5","1476491352003","29","speaker","greyish bright green ~ target is grey"
"1369-5","1476491369444","30","speaker","blue"
"1369-5","1476491390519","31","speaker","<unk> blue ?"
"1369-5","1476491428481","32","speaker","combination greenish box"
"1369-5","1476491498581","33","speaker","pea green"
"1369-5","1476491571250","34","speaker","closer to green not <unk>"
"1369-5","1476491616403","35","speaker","green"
"1369-5","1476491680342","36","speaker","grey"
"1369-5","1476491697476","37","speaker","mint green ~ not the mint green"
"1369-5","1476491729444","38","speaker","light purple"
"1369-5","1476491769150","39","speaker","<unk>"
"1369-5","1476491802365","40","speaker","tan brown ~ you're <unk> are an brown or deeper normal"
"1369-5","1476491831740","41","speaker","brighter purple"
"1369-5","1476491883814","42","speaker","purple"
"1369-5","1476491988290","43","speaker","purp"
"1369-5","1476492040975","44","speaker","light pink"
"1369-5","1476492101808","45","speaker","pink"
"1369-5","1476492150100","46","speaker","the most rose"
"1369-5","1476492214440","47","speaker","bright pink"
"1369-5","1476492236557","48","speaker","pink"
