"gameid","clkTime","roundNum","condition","clickStatus","clickColH","clickColS","clickColL","clickLocS","clickLocL","alt1Status","alt1ColH","alt1ColS","alt1ColL","alt1LocS","alt1LocL","alt2Status","alt2ColH","alt2ColS","alt2ColL","alt2LocS","alt2LocL","targetD1Diff","targetD2Diff","D1D2Diff","outcome","msgTime","role","contents","workerid_uniq","numOutcome","numRawWords","numRawChars","numCleanChars","numCleanWords","source"
"2641-2","1476489510197.0","1","speaker","bluest","48","13","50","2","1","distr2","176","67","50","1","2","distr1","26","34","50","3","3","16","31","44","true","1476489508343.0","speaker","gray","619","1.0","1","4","4","1","pragmatic"
"2641-2","1476489518639.0","2","speaker","one of the orange or brown","66","26","50","3","3","distr2","354","80","50","2","2","distr1","84","6","50","1","1","16","50","38","true","1476489517143.0","speaker","green","619","1.0","1","5","5","1","pragmatic"
"2641-2","1476489541868.0","3","speaker","the brightest pink","336","24","50","2","2","distr2","20","96","50","3","3","distr1","284","79","50","1","1","24","32","50","true","1476489540685.0","speaker","the duller one","619","1.0","3","12","9","2","pragmatic"
"2641-2","1476489551995.0","4","speaker","the brighter blue","172","60","50","1","1","distr1","143","36","50","3","3","distr2","24","91","50","2","2","15","56","55","true","1476489549408.0","speaker","the brighter blue","619","1.0","3","15","12","2","pragmatic"
"2641-2","1476489559788.0","5","speaker","yellow","41","71","50","1","2","distr1","2","20","50","3","1","distr2","295","62","50","2","3","35","66","28","true","1476489557987.0","speaker","yellow","619","1.0","1","6","6","1","pragmatic"
"2641-2","1476489574753.0","6","speaker","pink","316","43","50","1","1","distr2","316","92","50","2","2","distr1","292","74","50","3","3","12","10","12","true","1476489571015.0","speaker","the dullest purple","619","1.0","3","16","13","2","pragmatic"
"2641-2","1476489582576.0","7","speaker","green","126","81","50","1","3","distr1","280","52","50","3","1","distr2","178","76","50","2","2","66","30","55","true","1476489580634.0","speaker","green","619","1.0","1","5","5","1","pragmatic"
"2641-2","1476489590138.0","8","speaker","green","142","88","50","1","1","distr1","61","4","50","2","2","distr2","35","57","50","3","3","36","46","24","true","1476489588556.0","speaker","green","619","1.0","1","5","5","1","pragmatic"
"2641-2","1476489604809.0","9","speaker","green ~ like grass green","150","70","50","3","3","distr2","127","37","50","1","1","distr1","136","53","50","2","2","6","11","6","true","1476489601437.0","speaker","the brightest one","619","1.0","3","15","12","2","pragmatic"
"2641-2","1476489612417.0","10","speaker","green","92","70","50","3","2","distr2","263","29","50","1","3","distr1","198","99","50","2","1","61","80","40","true","1476489610824.0","speaker","green","619","1.0","1","5","5","1","pragmatic"
"2641-2","1476489623038.0","11","speaker","gray","312","1","50","2","3","distr1","331","84","50","1","2","distr2","30","58","50","3","1","28","26","41","true","1476489621082.0","speaker","dull lavender","619","1.0","2","12","12","2","pragmatic"
"2641-2","1476489642070.0","12","speaker","grayish blue again","109","19","50","3","3","distr1","136","30","50","1","1","distr2","197","12","50","2","2","6","22","25","true","1476489632676.0","speaker","the duller aqua","619","1.0","3","13","10","2","pragmatic"
"2641-2","1476489660809.0","13","speaker","brown","62","35","50","2","2","distr1","52","47","50","1","1","distr2","46","50","50","3","3","6","10","5","true","1476489654179.0","speaker","the more grey green","619","1.0","4","16","9","2","pragmatic"
"2641-2","1476489668478.0","14","speaker","yellow","69","98","50","1","1","distr1","151","27","50","3","2","distr2","240","7","50","2","3","35","54","30","true","1476489666796.0","speaker","yellow","619","1.0","1","6","6","1","pragmatic"
"2641-2","1476489683468.0","15","speaker","<unk> of a little green","314","1","50","3","2","target","79","3","50","2","1","distr2","189","97","50","1","3","6","32","36","false","1476489680095.0","speaker","the slightly darker lavender","619","0.0","4","25","22","3","pragmatic"
"2641-2","1476489719304.0","16","speaker","yikes , not the brightest one","300","43","50","3","1","target","274","21","50","1","2","distr2","291","75","50","2","3","13","17","7","false","1476489717242.0","speaker","more purple","619","0.0","2","10","6","1","pragmatic"
"2641-2","1476489728074.0","17","speaker","dullest","238","45","50","1","1","distr1","269","99","50","2","3","distr2","120","32","50","3","2","13","57","60","true","1476489725904.0","speaker","blue","619","1.0","1","4","4","1","pragmatic"
"2641-2","1476489734469.0","18","speaker","yellow","3","87","50","3","3","distr2","329","28","50","2","1","distr1","53","55","50","1","2","48","29","56","true","1476489732903.0","speaker","red","619","1.0","1","3","3","1","pragmatic"
"2641-2","1476489745104.0","19","speaker","saturated green","114","54","50","1","1","target","138","52","50","3","3","distr2","343","55","50","2","2","6","78","80","false","1476489742698.0","speaker","the brighter green","619","0.0","3","16","13","2","pragmatic"
"2641-2","1476489754759.0","20","speaker","orange","16","95","50","2","2","distr2","134","31","50","1","1","distr1","197","46","50","3","3","55","60","34","true","1476489750623.0","speaker","orange","619","1.0","1","6","6","1","pragmatic"
"2641-2","1476489767390.0","21","speaker","darker blue not grey","232","37","50","2","3","distr1","219","52","50","3","1","distr2","335","79","50","1","2","7","35","39","true","1476489763348.0","speaker","the purplish blue","619","1.0","3","15","12","2","pragmatic"
"2641-2","1476489777072.0","22","speaker","pure purple","275","18","50","1","2","distr1","238","88","50","2","1","distr2","84","19","50","3","3","27","46","72","true","1476489775245.0","speaker","lavender","619","1.0","1","8","8","1","pragmatic"
"2641-2","1476489786735.0","23","speaker","blue","194","75","50","2","1","distr2","20","55","50","1","3","distr1","279","18","50","3","2","41","53","34","true","1476489783981.0","speaker","blue","619","1.0","1","4","4","1","pragmatic"
"2641-2","1476489794959.0","24","speaker","red","352","65","50","1","2","distr1","326","8","50","2","3","distr2","265","84","50","3","1","24","38","32","true","1476489792864.0","speaker","pink","619","1.0","1","4","4","1","pragmatic"
"2641-2","1476489809254.0","25","speaker","darkest purple","320","40","50","1","2","distr1","309","62","50","3","3","target","306","20","50","2","1","14","8","8","false","1476489804518.0","speaker","the lightest lavender","619","0.0","3","19","16","2","pragmatic"
"2641-2","1476489846860.0","26","speaker","its the darker green","146","41","50","3","2","distr1","168","35","50","1","3","distr2","134","24","50","2","1","11","7","11","true","1476489829136.0","speaker","the one that looks more yellow, but not greyed out","619","1.0","10","40","20","4","pragmatic"
"2641-2","1476489876686.0","27","speaker","the most muted blue gray one","186","43","50","2","1","distr1","171","33","50","3","2","distr2","201","22","50","1","3","9","14","19","true","1476489870754.0","speaker","the most intense blue","619","1.0","4","18","11","2","pragmatic"
"2641-2","1476489892299.0","28","speaker","the target is lime green","110","90","50","3","3","distr2","89","58","50","1","2","distr1","92","46","50","2","1","15","11","5","true","1476489889950.0","speaker","the most bright and neon looking","619","1.0","6","27","17","3","pragmatic"
"2641-2","1476489910720.0","29","speaker","grey ~ warm ~ bright","305","10","50","3","1","distr1","315","31","50","1","2","distr2","236","18","50","2","3","12","13","19","true","1476489906841.0","speaker","the dull lavender that is more purplish","619","1.0","7","33","20","3","pragmatic"
"2641-2","1476489989472.0","30","speaker","gray / gray","62","4","50","2","3","target","36","7","50","1","2","distr1","131","10","50","3","1","15","5","11","false","1476489986612.0","speaker","the more grey one","619","0.0","4","14","7","2","pragmatic"
"2641-2","1476489999081.0","31","speaker","bright green","136","99","50","1","1","distr2","80","49","50","3","2","distr1","128","61","50","2","3","11","18","12","true","1476489996447.0","speaker","the brightest one","619","1.0","3","15","12","2","pragmatic"
"2641-2","1476490010021.0","32","speaker","any <unk> <unk> urine","83","87","50","3","1","distr2","101","38","50","2","2","distr1","116","84","50","1","3","9","18","16","true","1476490006417.0","speaker","the yellowest one","619","1.0","3","15","12","2","pragmatic"
"2641-2","1476490019126.0","33","speaker","yellow","85","39","50","2","3","distr2","32","54","50","3","2","distr1","139","17","50","1","1","17","32","33","true","1476490017100.0","speaker","green","619","1.0","1","5","5","1","pragmatic"
"2641-2","1476490029415.0","34","speaker","darker orange","31","49","50","1","1","distr1","128","47","50","3","2","distr2","310","95","50","2","3","41","51","93","true","1476490027609.0","speaker","brown/orange","619","1.0","1","11","11","2","pragmatic"
"2641-2","1476490037986.0","35","speaker","teal","187","35","50","1","1","distr1","142","22","50","3","2","distr2","16","78","50","2","3","19","48","51","true","1476490036282.0","speaker","blue","619","1.0","1","4","4","1","pragmatic"
"2641-2","1476490049765.0","36","speaker","candy blue","250","75","50","2","1","distr2","231","42","50","1","2","distr1","269","28","50","3","3","19","14","13","true","1476490047363.0","speaker","the most intense one","619","1.0","4","17","10","2","pragmatic"
"2641-2","1476490075670.0","37","speaker","dull red","2","22","50","1","3","distr2","4","46","50","2","2","distr1","337","52","50","3","1","15","11","16","true","1476490070934.0","speaker","the dull slightly bluish lavender","619","1.0","5","29","26","4","pragmatic"
"2641-2","1476490085935.0","38","speaker","mauve","12","18","50","2","3","distr1","240","90","50","3","1","distr2","137","48","50","1","2","41","44","68","true","1476490082189.0","speaker","grey","619","1.0","1","4","4","1","pragmatic"
"2641-2","1476490111091.0","39","speaker","dark blue","161","59","50","1","2","distr1","118","49","50","2","3","distr2","217","75","50","3","1","15","50","62","true","1476490107043.0","speaker","the lighter one","619","1.0","3","13","10","2","pragmatic"
"2641-2","1476490123414.0","40","speaker","dull drab non carpet","154","13","50","3","1","distr2","225","98","50","1","2","distr1","113","33","50","2","3","18","42","62","true","1476490120375.0","speaker","the greyest one","619","1.0","3","13","10","2","pragmatic"
"2641-2","1476490134203.0","41","speaker","blue","194","65","50","2","1","distr1","200","76","50","1","3","distr2","102","29","50","3","2","8","40","47","true","1476490131775.0","speaker","the lighter blue","619","1.0","3","14","11","2","pragmatic"
"2641-2","1476490141017.0","42","speaker","pink","338","96","50","1","3","distr2","210","95","50","2","1","distr1","256","11","50","3","2","30","45","25","true","1476490139636.0","speaker","pink","619","1.0","1","4","4","1","pragmatic"
"2641-2","1476490151376.0","43","speaker","bright purple","261","53","50","3","1","distr1","265","31","50","1","3","distr2","260","21","50","2","2","10","15","6","true","1476490149613.0","speaker","the most intense one","619","1.0","4","17","10","2","pragmatic"
"2641-2","1476490158771.0","44","speaker","bright orange","1","83","50","3","2","distr2","20","38","50","2","3","distr1","24","98","50","1","1","17","17","16","true","1476490156818.0","speaker","red","619","1.0","1","3","3","1","pragmatic"
