gameid,time,roundNum,sender,contents
2780-1,1459886486214,1,speaker,purple
2780-1,1459886520593,2,speaker,green
2780-1,1459886542191,3,speaker,the target is the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of the lighter of
2780-1,1459886605541,4,speaker,green
2780-1,1459886627307,5,speaker,the target is the three
2780-1,1459886660813,6,listener,grey
2780-1,1459886689406,7,speaker,orange
2780-1,1459886733504,8,listener,pink
2780-1,1459886754045,9,speaker,grey
2780-1,1459886845113,10,speaker,grey
2780-1,1459886862413,11,listener,grey
2780-1,1459886876023,12,speaker,blue
2780-1,1459886889788,13,speaker,blue
2780-1,1459886919218,14,listener,purple
2780-1,1459886952855,15,speaker,orange
2780-1,1459886987653,16,speaker,purple
2780-1,1459887002726,17,speaker,grey
2780-1,1459887018320,18,speaker,green
2780-1,1459887046440,19,speaker,orange
2780-1,1459887064836,20,listener,yellow
2780-1,1459887123637,21,speaker,purple
2780-1,1459887132181,22,speaker,pink
2780-1,1459887143854,23,speaker,green
2780-1,1459887158097,24,speaker,red
2780-1,1459887184025,25,speaker,pink
2780-1,1459887194599,26,listener,green
2780-1,1459887208235,27,speaker,orange
2780-1,1459887219113,28,speaker,green
2780-1,1459887241095,29,speaker,bright purple
2780-1,1459887249948,30,speaker,the target is the three
2780-1,1459887267137,31,speaker,purple
2780-1,1459887279797,32,speaker,purple
2780-1,1459887289255,33,speaker,grey
2780-1,1459887296830,34,speaker,green
2780-1,1459887306421,35,speaker,the target is the three
2780-1,1459887316850,36,speaker,the target is a <unk> ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
2780-1,1459887326550,37,speaker,blue
2780-1,1459887349748,38,speaker,blue
2780-1,1459887359398,39,speaker,the target is the <unk> one
2780-1,1459887368033,40,speaker,blue
2780-1,1459887379186,41,speaker,purple
2780-1,1459887396394,42,speaker,the target is the <unk> one
2780-1,1459887409982,43,listener,grey
2780-1,1459887440725,44,speaker,bright blue
2780-1,1459887477940,45,speaker,purple
2780-1,1459887494454,46,speaker,purple
2780-1,1459887513393,47,speaker,green
2780-1,1459887527782,48,listener,bright green
2780-1,1459887573322,49,speaker,bright blue
2780-1,1459887596545,50,speaker,purple
8088-6,1459886572281,1,speaker,purple
8088-6,1459886587185,2,speaker,purple
8088-6,1459886604576,3,speaker,gray
8088-6,1459886620942,4,speaker,grey
8088-6,1459886642169,5,speaker,purple
8088-6,1459886663000,6,speaker,the target is the <unk> <unk> ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
8088-6,1459886693581,7,speaker,purple
8088-6,1459886713394,8,speaker,bright pink
8088-6,1459886730776,9,speaker,green
8088-6,1459886744966,10,speaker,blue
8088-6,1459886761797,11,speaker,red
8088-6,1459886771708,12,speaker,blue
8088-6,1459886789589,13,speaker,purple
8088-6,1459886799831,14,speaker,green
8088-6,1459886815723,15,speaker,brown
8088-6,1459886828186,16,speaker,grey
8088-6,1459886847293,17,speaker,purple
8088-6,1459886886630,18,speaker,green
8088-6,1459886919422,19,speaker,blue
8088-6,1459887079554,20,speaker,pink
8088-6,1459887102913,21,speaker,green
8088-6,1459887120724,22,speaker,yellow
8088-6,1459887132514,23,speaker,the target is the three
8088-6,1459887150924,24,speaker,purple
8088-6,1459887165557,25,speaker,purple
8088-6,1459887177710,26,speaker,bright purple
8088-6,1459887191480,27,speaker,green
8088-6,1459887207768,28,speaker,green
8088-6,1459887220999,29,speaker,brown
8088-6,1459887235583,30,speaker,blue
8088-6,1459887252983,31,speaker,blue
8088-6,1459887265133,32,speaker,purple
8088-6,1459887273483,33,speaker,yellow
8088-6,1459887282009,34,speaker,blue
8088-6,1459887295161,35,speaker,grey
8088-6,1459887304652,36,speaker,pink
8088-6,1459887315775,37,speaker,grey
8088-6,1459887326258,38,speaker,purple
8088-6,1459887336633,39,speaker,brown
8088-6,1459887352504,40,speaker,gray
8088-6,1459887359901,41,speaker,orange
8088-6,1459887365260,42,speaker,red
8088-6,1459887373310,43,speaker,purple
8088-6,1459887382730,44,speaker,orange
8088-6,1459887398577,45,speaker,pink
8088-6,1459887411516,46,speaker,green
8088-6,1459887420739,47,speaker,blue
8088-6,1459887447264,48,speaker,blue
8088-6,1459887455497,49,speaker,purple
