gameid,time,roundNum,sender,contents
2780-1,1459886486214,1,speaker,purple
2780-1,1459886520593,2,speaker,green
2780-1,1459886542191,3,speaker,i have lighter of a bright green . too ~ like <unk> one ~ seems it that opposite are <unk> ~ more like <unk> ) ~ nice is teal and others as a green sky
2780-1,1459886605541,4,speaker,lime green
2780-1,1459886627307,5,speaker,gray
2780-1,1459886660813,6,speaker,darker blue green
2780-1,1459886689406,7,speaker,darker red
2780-1,1459886733504,8,speaker,lesser purple
2780-1,1459886754045,9,speaker,pea green
2780-1,1459886845113,10,speaker,"grey ( one , not brown"
2780-1,1459886862413,11,speaker,grayish gray
2780-1,1459886876023,12,speaker,closest to blue ~ faded
2780-1,1459886889788,13,speaker,the lighter blue
2780-1,1459886919218,14,speaker,grey
2780-1,1459886952855,15,speaker,"red / darkest , one"
2780-1,1459886987653,16,speaker,pink
2780-1,1459887002726,17,speaker,dark blue tone
2780-1,1459887018320,18,speaker,greenish darker
2780-1,1459887046440,19,speaker,greyest pink
2780-1,1459887064836,20,speaker,yellow
2780-1,1459887123637,21,speaker,purple or blue
2780-1,1459887132181,22,speaker,pink
2780-1,1459887143854,23,speaker,my <unk> <unk> green . ~ ~ yes
2780-1,1459887158097,24,speaker,pink
2780-1,1459887184025,25,speaker,pink
2780-1,1459887194599,26,speaker,yes ~ reen ~ more <unk> ~ lol ~ ~ i job call it ~ it's the <unk> blue-ish green in one ~ yep ~ yes ~ ~ ~ ~ ~ yellowish and last ?
2780-1,1459887208235,27,speaker,orangish gray
2780-1,1459887219113,28,speaker,<unk> green
2780-1,1459887241095,29,speaker,the target is closer doo hint a bright pink
2780-1,1459887249948,30,speaker,"green , not two and other one"
2780-1,1459887267137,31,speaker,purple shade
2780-1,1459887279797,32,speaker,purple
2780-1,1459887289255,33,speaker,grey ; not all <unk> i here <unk> silver
2780-1,1459887296830,34,speaker,green
2780-1,1459887306421,35,speaker,pea yellow
2780-1,1459887316850,36,speaker,dull yellow
2780-1,1459887326550,37,speaker,blue / green
2780-1,1459887349748,38,speaker,blue
2780-1,1459887359398,39,speaker,lesser gray
2780-1,1459887368033,40,speaker,blue
2780-1,1459887379186,41,speaker,dark purple
2780-1,1459887396394,42,speaker,yellowish tone
2780-1,1459887409982,43,speaker,cloest to gray
2780-1,1459887440725,44,speaker,the target is correct ~ ~
2780-1,1459887477940,45,speaker,purple
2780-1,1459887494454,46,speaker,closest to purple silver
2780-1,1459887513393,47,speaker,mint green
2780-1,1459887527782,48,speaker,bright green
2780-1,1459887573322,49,speaker,bright blue
2780-1,1459887596545,50,speaker,dark again of not the dark one / a bright one ~ most again ~ ~ it's the last doo of purple ~ purp
8088-6,1459886572281,1,speaker,brightest purple
8088-6,1459886587185,2,speaker,purple
8088-6,1459886604576,3,speaker,grey one
8088-6,1459886620942,4,speaker,<unk> i looks bluish blue
8088-6,1459886642169,5,speaker,purple ish looking one ~ the has ugly one
8088-6,1459886663000,6,speaker,old
8088-6,1459886693581,7,speaker,the target is gray or <unk>
8088-6,1459886713394,8,speaker,brighter pink
8088-6,1459886730776,9,speaker,lesser blue
8088-6,1459886744966,10,speaker,"blue , not the target"
8088-6,1459886761797,11,speaker,red
8088-6,1459886771708,12,speaker,teal
8088-6,1459886789589,13,speaker,just gray gray
8088-6,1459886799831,14,speaker,"green , not the vibrant leaning green"
8088-6,1459886815723,15,speaker,darker brown
8088-6,1459886828186,16,speaker,grey
8088-6,1459886847293,17,speaker,purple
8088-6,1459886886630,18,speaker,green color
8088-6,1459886919422,19,speaker,blue
8088-6,1459887079554,20,speaker,"the target that's more green-grey left , good . are mustard . ~ ~ ~ . ~ we think ~ no ~ ~ ~ ~ ~ ~"
8088-6,1459887102913,21,speaker,teal
8088-6,1459887120724,22,speaker,yellow
8088-6,1459887132514,23,speaker,green that forest green
8088-6,1459887150924,24,speaker,the target that greener
8088-6,1459887165557,25,speaker,purple
8088-6,1459887177710,26,speaker,brightest color / magenta ~ like <unk> you to and it . ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ blue . .
8088-6,1459887191480,27,speaker,darkest box
8088-6,1459887207768,28,speaker,bright color of the bright green - maybe
8088-6,1459887220999,29,speaker,dusty brown
8088-6,1459887235583,30,speaker,bright blue
8088-6,1459887252983,31,speaker,<unk> blue
8088-6,1459887265133,32,speaker,purple
8088-6,1459887273483,33,speaker,darkest less me ~ for
8088-6,1459887282009,34,speaker,blue ( faded
8088-6,1459887295161,35,speaker,"most color of grey color . ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ no ~ this one , more gray ."
8088-6,1459887304652,36,speaker,pink
8088-6,1459887315775,37,speaker,gray
8088-6,1459887326258,38,speaker,close
8088-6,1459887336633,39,speaker,brown
8088-6,1459887352504,40,speaker,grey brown
8088-6,1459887359901,41,speaker,gold
8088-6,1459887365260,42,speaker,red between red
8088-6,1459887373310,43,speaker,purple
8088-6,1459887382730,44,speaker,orange
8088-6,1459887398577,45,speaker,red
8088-6,1459887411516,46,speaker,green
8088-6,1459887420739,47,speaker,dark blue
8088-6,1459887447264,48,speaker,dark blue
8088-6,1459887455497,49,speaker,purple
8088-6,1459887463852,50,speaker,the target is the not <unk> ~ brighter
