gameid,time,roundNum,sender,contents
2780-1,1459886486214,1,speaker,the target ~ purple
2780-1,1459886520593,2,speaker,green
2780-1,1459886542191,3,speaker,bright green
2780-1,1459886605541,4,speaker,green
2780-1,1459886627307,5,speaker,no . is the vibrant
2780-1,1459886660813,6,speaker,target is the target is olive . or the <unk> darker darker green
2780-1,1459886689406,7,speaker,darkest of <unk>
2780-1,1459886733504,8,speaker,"the least brightest pink the more skies , kind of the gray-ish for pink . bluis ~ ~ ~ this one is pink in red"
2780-1,1459886754045,9,speaker,grey one
2780-1,1459886845113,10,speaker,matte slate
2780-1,1459886862413,11,speaker,the target is but you of the greenish grass
2780-1,1459886876023,12,speaker,<unk> ~
2780-1,1459886889788,13,speaker,brightest green
2780-1,1459886919218,14,speaker,blue
2780-1,1459886952855,15,speaker,orange
2780-1,1459886987653,16,speaker,purple
2780-1,1459887002726,17,speaker,darkest grey / green
2780-1,1459887018320,18,speaker,A combination of yellow and green.
2780-1,1459887046440,19,speaker,"it's the medium green , not the two looking one . ~ kind of hot pink , not aqua or magenta ~ blue"
2780-1,1459887064836,20,speaker,yellow
2780-1,1459887123637,21,speaker,purple
2780-1,1459887132181,22,speaker,tan
2780-1,1459887143854,23,speaker,lime green
2780-1,1459887158097,24,speaker,pink
2780-1,1459887184025,25,speaker,Also could be a lipstick color. ~ Strawberry
2780-1,1459887194599,26,speaker,blue
2780-1,1459887208235,27,speaker,yellow
2780-1,1459887219113,28,speaker,"light green , not the darkest green"
2780-1,1459887241095,29,speaker,bright blue
2780-1,1459887249948,30,speaker,dull green / green .
2780-1,1459887267137,31,speaker,purple / purple one
2780-1,1459887279797,32,speaker,the target is purple .
2780-1,1459887289255,33,speaker,grapes
2780-1,1459887296830,34,speaker,brighter green
2780-1,1459887306421,35,speaker,green
2780-1,1459887316850,36,speaker,the darkest ~ no ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
2780-1,1459887326550,37,speaker,closest to <unk> grass / color hehe
2780-1,1459887349748,38,speaker,teal
2780-1,1459887359398,39,speaker,stormy
2780-1,1459887368033,40,speaker,sunny sky
2780-1,1459887379186,41,speaker,purple
2780-1,1459887396394,42,speaker,"army green , not not but the green is the olive one or the three one with yep ~ yellowish ."
2780-1,1459887409982,43,speaker,slate
2780-1,1459887440725,44,speaker,the brightest blue
2780-1,1459887477940,45,speaker,dull red
2780-1,1459887494454,46,speaker,olive
2780-1,1459887513393,47,speaker,teal
2780-1,1459887527782,48,speaker,green color ~ ~ <unk> are a the a bright easter green
2780-1,1459887573322,49,speaker,bright dark green
2780-1,1459887596545,50,speaker,Ha ha - blunder years!
8088-6,1459886572281,1,speaker,purple
8088-6,1459886587185,2,speaker,purple
8088-6,1459886604576,3,speaker,grapes
8088-6,1459886620942,4,speaker,dull pink
8088-6,1459886642169,5,speaker,"cloest to plum miss grey-green , closer to dull blue"
8088-6,1459886663000,6,speaker,yellow
8088-6,1459886693581,7,speaker,ok . ~ ~ ~ of bright
8088-6,1459886713394,8,speaker,the target is pink ~ ~ not the dark one in one
8088-6,1459886730776,9,speaker,greenish
8088-6,1459886744966,10,speaker,bright blue again
8088-6,1459886761797,11,speaker,dusty pink
8088-6,1459886771708,12,speaker,sorry yellowish teal )
8088-6,1459886789589,13,speaker,tan
8088-6,1459886799831,14,speaker,most green
8088-6,1459886815723,15,speaker,brown
8088-6,1459886828186,16,speaker,dreary one is the greenish gray . ~ neon grey
8088-6,1459886847293,17,speaker,purple
8088-6,1459886886630,18,speaker,purple / light blue
8088-6,1459886919422,19,speaker,lightest greyish not the blue tone
8088-6,1459887079554,20,speaker,wron worries briter orangish that's super brighter great in letter it that's middle . ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
8088-6,1459887102913,21,speaker,grass green
8088-6,1459887120724,22,speaker,gold
8088-6,1459887132514,23,speaker,grass
8088-6,1459887150924,24,speaker,darker purple
8088-6,1459887165557,25,speaker,"just <unk> ~ my <unk> really between the lighter of the mauve of has not the <unk> pink , but one"
8088-6,1459887177710,26,speaker,darker purple ~ no ~ ~ ~ good ~ brite
8088-6,1459887191480,27,speaker,but bluish gray
8088-6,1459887207768,28,speaker,neon green
8088-6,1459887220999,29,speaker,brownish brown
8088-6,1459887235583,30,speaker,gray
8088-6,1459887252983,31,speaker,dull purple one
8088-6,1459887265133,32,speaker,browner pink
8088-6,1459887273483,33,speaker,brightest green
8088-6,1459887282009,34,speaker,sky blue
8088-6,1459887295161,35,speaker,ok . grey
8088-6,1459887304652,36,speaker,<unk>
8088-6,1459887315775,37,speaker,copper
8088-6,1459887326258,38,speaker,faded purple
8088-6,1459887336633,39,speaker,brown
