gameid,time,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009812974,1,further,distr1,33,4,50,2,2,distr2,279,46,50,3,3,target,21,33,50,1,1,17,39,33,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009840364,2,equal,target,243,92,50,1,1,distr2,143,92,50,3,3,distr1,12,88,50,2,2,54,78,79,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009856123,3,further,distr2,63,94,50,3,1,distr1,320,45,50,1,2,target,292,37,50,2,3,8,84,82,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009874228,4,equal,target,59,19,50,3,2,distr1,329,27,50,2,3,distr2,29,60,50,1,1,42,23,37,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009896667,5,closer,distr2,219,13,50,2,2,distr1,219,40,50,1,3,target,268,10,50,3,1,19,11,11,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009922685,6,further,distr1,106,17,50,3,3,distr2,283,30,50,2,1,target,153,58,50,1,2,18,52,55,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009937181,7,equal,target,340,13,50,2,2,distr2,44,82,50,3,3,distr1,294,65,50,1,1,25,43,72,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009963176,8,equal,target,175,11,50,1,2,distr2,341,33,50,3,1,distr1,226,38,50,2,3,27,30,29,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009979871,9,equal,target,310,0,50,3,2,distr2,269,82,50,1,1,distr1,24,89,50,2,3,30,35,57,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501010000418,10,closer,distr1,34,42,50,3,1,distr2,26,38,50,2,3,target,29,79,50,1,2,12,12,7,false
