,gameid,epochTime,roundNum,sender,contents,raw_lengths,z_scores
0,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009770723,1,倾听者,hi,2,-0.898784013559
1,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009780640,1,演说者,接近地,9,-0.0995037364521
2,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009792580,1,演说者,的颜色,9,-0.0995037364521
3,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009803540,1,倾听者,灰色？,9,-0.0995037364521
4,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009828080,2,倾听者,？,3,-0.78460111683
5,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009849356,3,倾听者,？,3,-0.78460111683
6,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009871308,4,演说者,树的颜色,12,0.243044953737
7,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009889576,5,演说者,冷色,6,-0.442052426641
8,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009910004,6,演说者,草的颜色,12,0.243044953737
9,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009933371,7,演说者,肉桂,6,-0.442052426641
10,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009949791,8,倾听者,？,3,-0.78460111683
11,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009974025,9,倾听者,？,3,-0.78460111683
12,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009991587,10,倾听者,？,3,-0.78460111683
13,7645-31884455-9ae0-4726-a830-00d8014ac468,1501010015824,11,倾听者,？,3,-0.78460111683
14,1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032293921,0,演说者,Black,5,-0.55623532337
15,1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032306600,0,演说者,White,5,-0.55623532337
16,1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032315179,0,演说者,Ok good color,13,0.357227850466
17,1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032324477,0,演说者,Reji,4,-0.6704182201
18,4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033341734,0,演说者,红,3,-0.78460111683
19,4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033359914,0,演说者,红,3,-0.78460111683
20,4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033392693,0,演说者,紅,3,-0.78460111683
21,4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033482990,0,演说者,RED,3,-0.78460111683
22,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096118786,1,倾听者,？,3,-0.78460111683
23,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096130075,1,演说者,深色的血液,15,0.585593643925
24,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096152265,2,演说者,深海,6,-0.442052426641
25,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096181129,3,演说者,女士 高雅,13,0.357227850466
26,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096198124,4,演说者,龙,3,-0.78460111683
27,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096214088,5,演说者,土地,6,-0.442052426641
28,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096236253,6,演说者,最深,6,-0.442052426641
29,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096256219,7,演说者,艳丽,6,-0.442052426641
30,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096287360,8,演说者,两种稍微深些,18,0.928142334114
31,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096310697,9,演说者,暗些,6,-0.442052426641
32,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096322412,10,演说者,土地,6,-0.442052426641
33,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096334308,11,演说者,不同的,9,-0.0995037364521
34,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096346697,12,演说者,明亮,6,-0.442052426641
35,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096357396,13,演说者,暗,3,-0.78460111683
36,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096380810,14,演说者,两同色中暗些,18,0.928142334114
37,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096403315,15,演说者,深,3,-0.78460111683
38,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096414415,16,演说者,暗些,6,-0.442052426641
39,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096427801,17,演说者,大海,6,-0.442052426641
40,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096444332,18,演说者,中老年女,12,0.243044953737
41,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096453579,19,演说者,土地,6,-0.442052426641
42,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096471016,20,演说者,明亮,6,-0.442052426641
43,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096480840,21,演说者,暗色,6,-0.442052426641
44,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096489361,22,演说者,基佬,6,-0.442052426641
45,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096499938,23,演说者,暗,3,-0.78460111683
46,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096515080,24,演说者,暗,3,-0.78460111683
47,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096523282,25,演说者,女士,6,-0.442052426641
48,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096538969,26,演说者,两色中明亮一些,21,1.2706910243
49,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096546544,27,演说者,大海,6,-0.442052426641
50,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096554952,28,演说者,基佬,6,-0.442052426641
51,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096564168,29,演说者,明亮,6,-0.442052426641
52,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096575280,30,演说者,土地 深些,13,0.357227850466
53,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096589748,31,演说者,中暗,6,-0.442052426641
54,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096610992,32,演说者,暗色,6,-0.442052426641
55,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096622144,33,演说者,女士,6,-0.442052426641
56,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096635828,34,演说者,两同色中暗些,18,0.928142334114
57,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096647549,35,演说者,明亮树,9,-0.0995037364521
58,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096661094,36,演说者,树 暗些,10,0.0146791602774
59,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096673303,37,演说者,土地,6,-0.442052426641
60,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096688974,38,演说者,女士 明亮,13,0.357227850466
61,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096700535,39,演说者,树 明亮些,13,0.357227850466
62,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096711798,40,演说者,天空,6,-0.442052426641
63,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096722040,41,演说者,血液,6,-0.442052426641
64,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096729407,42,演说者,大海,6,-0.442052426641
65,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096740133,43,演说者,暗些,6,-0.442052426641
66,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096748749,44,演说者,土地,6,-0.442052426641
67,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096760408,45,演说者,橙子,6,-0.442052426641
68,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096771366,46,演说者,最深,6,-0.442052426641
69,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096793464,47,演说者,不是树，不是天空,24,1.61323971449
70,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096811263,48,演说者,浅海,6,-0.442052426641
71,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096821275,49,演说者,天空,6,-0.442052426641
72,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096826405,49,演说者,大海,6,-0.442052426641
73,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096837758,50,演说者,最深的色,12,0.243044953737
74,1335-1ca93459-779e-4930-a18c-6077a00ed72b,1501097221281,0,演说者,? 我要继续等待吗？,26,1.84160550795
76,6404-4779d0b9-40ee-401a-9139-9a2c88b7cc59,1501097922031,0,演说者,fgwes,5,-0.55623532337
77,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120557689,1,倾听者,请描述。。。,18,0.928142334114
78,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120702265,2,倾听者,仍然没看到任何描述。。。,36,2.98343447525
79,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120798176,3,倾听者,演说者了解他/她的任务吗？,37,3.09761737198
80,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120847123,4,演说者,红色,6,-0.442052426641
81,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120861381,5,演说者,绿色,6,-0.442052426641
82,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120870885,6,演说者,黄色,6,-0.442052426641
83,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120899051,7,演说者,红绿灯的绿色,18,0.928142334114
84,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120916206,8,演说者,红绿灯的绿色,18,0.928142334114
85,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120931256,9,演说者,红,3,-0.78460111683
87,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120992501,10,倾听者,猪肝色吗？,15,0.585593643925
88,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120998078,10,演说者,哈哈是的,12,0.243044953737
89,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121026991,11,演说者,最接近黄色的那个,24,1.61323971449
90,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121053821,12,演说者,墨绿色,9,-0.0995037364521
91,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121071467,13,演说者,蓝色,6,-0.442052426641
92,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121084486,14,演说者,橙色,6,-0.442052426641
93,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121118483,15,演说者,不是紫色也不是灰色,27,1.95578840468
94,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121141377,16,演说者,最亮的红色,15,0.585593643925
95,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121167085,16,倾听者,粉红色吗？,15,0.585593643925
96,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121175953,16,演说者,是的,6,-0.442052426641
97,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121184514,17,演说者,灰色,6,-0.442052426641
98,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121196210,18,演说者,墨绿,6,-0.442052426641
99,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121248418,18,倾听者,带青色或带蓝色？,24,1.61323971449
100,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121283031,18,演说者,青色,6,-0.442052426641
101,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121303564,19,演说者,深蓝色,9,-0.0995037364521
102,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121318363,20,演说者,土黄色,9,-0.0995037364521
103,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121329987,21,演说者,猪肝色,9,-0.0995037364521
104,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121359726,22,演说者,程度居中的绿色,21,1.2706910243
105,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121384867,23,演说者,墨绿色,9,-0.0995037364521
106,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121402063,24,演说者,土黄色,9,-0.0995037364521
107,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121450742,24,倾听者,黄色较浓吗？,18,0.928142334114
108,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121469839,24,演说者,较淡,6,-0.442052426641
109,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121477935,25,演说者,灰色,6,-0.442052426641
110,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121491004,26,演说者,蓝灰色,9,-0.0995037364521
111,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121523803,27,演说者,墨绿色,9,-0.0995037364521
112,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121542293,28,演说者,紫色,6,-0.442052426641
113,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121572819,28,倾听者,带红色或带蓝色？,24,1.61323971449
114,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121580526,28,演说者,带蓝色,9,-0.0995037364521
115,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121598038,29,演说者,和上一题一样的颜色,27,1.95578840468
116,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121617138,30,演说者,大红,6,-0.442052426641
