Value,Condition,Language,Message
1,closer/close,English,The darker blue one
0,equal/far,English,purple
0,closer/close,English,Medium pink
0,closer/close,English,the medium dark one
0,further/split,English,lime
0,equal/far,English,Mint green.
0,equal/far,English,Mud brown
0,further/split,English,Mud brown
0,further/split,English,Camo green
0,further/split,English,Darkish red
0,equal/far,English,Grey
0,equal/far,English,Purple
0,closer/close,English,"Darkest shade of green, forest green"
1,further/split,English,"One of the brown ones, the lighter shaded one"
1,further/split,English,The more vibrantly red one... not the more purple one
0,equal/far,English,blue
0,equal/far,English,Plain blue
0,equal/far,English,Yellowish brownish orangish yellow
0,equal/far,English,lol
0,further/split,English,that was quite the description
0,further/split,English,Like that description? Haha
0,further/split,English,Thank you.
0,further/split,English,Grey
0,further/split,English,Camo green
0,closer/close,English,Brown
0,closer/close,English,Neon pink
0,further/split,English,oopsies. I think they're both a bit neon
1,further/split,English,the greyish one that's not the browner one
0,further/split,English,Brown
0,further/split,English,forest green
0,closer/close,English,greyest one
1,closer/close,English,darker red
0,closer/close,English,red
1,closer/close,English,"purple, darker one"
0,further/split,English,orange
0,further/split,English,dark green
0,equal/far,English,grey
0,further/split,English,green
1,closer/close,English,"brown. not the yellow one or classic brown one, the weirder one"
1,closer/close,English,I like the weirder one
0,closer/close,English,Hahaha. Me too. This one is purple. Not neon and not lavender
0,equal/far,English,Red
0,further/split,English,"Lime green, not forest green"
0,further/split,English,blue
0,closer/close,English,light brown
0,equal/far,English,brown
0,closer/close,English,blue
0,closer/close,English,lightest shade of teal/blue/green
0,equal/far,English,blue
0,equal/far,English,dark yucky green
0,equal/far,English,grey
0,equal/far,English,grey
0,equal/far,English,red
0,closer/close,English,dark green
0,closer/close,English,not camo and not brown
0,equal/far,English,YELLOW!!!!
0,further/split,English,"select the bright green, not the olive"
0,equal/far,English,green
0,equal/far,English,red
0,equal/far,English,grey
0,closer/close,English,brownish-cream; not grey or pinkish
0,equal/far,English,blue
0,closer/close,English,grey (you're doing great)
0,closer/close,English,thanks. good descriptions.
1,closer/close,English,teal (not the two that are more green)
0,further/split,English,brownish
0,closer/close,English,the bright green
0,equal/far,English,brownish
0,equal/far,English,reddish
0,closer/close,English,grey
0,further/split,English,dark blue
0,further/split,English,purple
0,further/split,English,dark pink; not bright pink
0,closer/close,English,brightest green
0,closer/close,English,brightest green
0,closer/close,English,"dark purple (good job on the last two, by the way)"
0,further/split,English,thanks
1,further/split,English,"dark orange (not the red, and not the lighter orange)"
0,further/split,English,purple; not pink or teal (good on the last one)
0,closer/close,English,darkest green
0,closer/close,English,brightest pink
0,closer/close,English,grey; not grey-brown or red
0,closer/close,English,grey-green
0,further/split,English,grey-purple
0,equal/far,English,olive (not teal or bright green)
0,further/split,English,bright blue (not one with hint of purple)
0,equal/far,English,grey
0,further/split,English,dull purple
0,further/split,English,teal
0,closer/close,English,olive
0,further/split,English,"green, but not neon green"
0,further/split,English,grey-teal (good on the last one)
0,equal/far,English,orange
0,equal/far,English,your descriptions are great
0,equal/far,English,grey
0,closer/close,English,grey-blue
0,equal/far,English,green
0,closer/close,English,darkest green
0,equal/far,English,pink
0,closer/close,English,yellow
0,further/split,English,purple
0,equal/far,English,green
0,further/split,English,red
0,equal/far,English,purple
1,further/split,English,darker grey (not the lighter green-grey)
0,further/split,English,normal grey
0,equal/far,English,orange
0,equal/far,English,green (nice job!  I think we got one wrong.  nice working with you)
0,further/split,English,lime green
0,closer/close,English,gray
0,equal/far,English,gray
0,equal/far,English,gray
0,further/split,English,the very dull red
1,further/split,English,lighter or darker
1,further/split,English,lighter
0,closer/close,English,gray
0,equal/far,English,the purplish one
0,equal/far,English,purple
0,further/split,English,blue
1,closer/close,English,the slightly darker pink
0,further/split,English,blue
0,closer/close,English,lime green
1,equal/far,English,brigher blue
0,closer/close,English,the medium blue
0,further/split,English,the dark bluish gray
0,equal/far,English,pink
0,closer/close,English,the orangeish one
0,closer/close,English,light green
0,equal/far,English,bright purple
1,closer/close,English,the darker gray
0,equal/far,English,turquoise
0,equal/far,English,green
0,further/split,English,blue gray
0,closer/close,English,blue
0,closer/close,English,bright pink
1,closer/close,English,the less greenish gray
0,further/split,English,bright blue
0,equal/far,English,gray
1,further/split,English,the darker gray
0,equal/far,English,red
0,closer/close,English,sky blue
0,equal/far,English,green
0,further/split,English,"light blue, but the slightly duller one"
1,closer/close,English,the more brownish one
0,equal/far,English,blue
0,equal/far,English,gray
1,further/split,English,the more bluish purple
0,closer/close,English,the bluish gray
0,closer/close,English,the one that's not bright green and not mint green
0,closer/close,English,the most reddish purple
0,further/split,English,red
1,further/split,English,darker purple
0,further/split,English,blue
0,further/split,English,purple
0,equal/far,English,pink
0,further/split,English,bright blue
0,equal/far,English,dark blue
0,further/split,English,dark gray
0,further/split,English,purple
0,closer/close,English,blue
0,equal/far,English,green
0,equal/far,English,brown
0,closer/close,English,"olive green, darkest"
0,equal/far,English,blue
0,closer/close,English,"darkest shade, army colored"
0,further/split,English,brightest teal
0,further/split,English,brightest purple
0,further/split,English,gold
0,equal/far,English,teal/blue
0,further/split,English,middle brightness
0,further/split,English,dark green
0,closer/close,English,purple on the right
0,further/split,English,darkest color
1,further/split,English,darker orange
0,further/split,English,dark green
0,closer/close,English,middle green
0,equal/far,English,darkest color
0,equal/far,English,blue
0,equal/far,English,orange
0,equal/far,English,blue
0,closer/close,English,blue
0,equal/far,English,purple
0,further/split,English,bright purple
0,equal/far,English,reddish
0,closer/close,English,bluest purple
0,equal/far,English,green
0,further/split,English,bluest green
0,closer/close,English,just pick a random one
0,equal/far,English,bright green
1,closer/close,English,darker olive
0,further/split,English,bright teal
0,further/split,English,magenta
0,closer/close,English,darkest green
0,equal/far,English,brown
0,equal/far,English,grey
0,closer/close,English,light blue
0,closer/close,English,neon green
0,closer/close,English,brown
0,further/split,English,blue
0,equal/far,English,red
0,further/split,English,greenest
0,further/split,English,dark puprle
0,further/split,English,your dumb. this one is dark blue
0,closer/close,English,middle green
0,further/split,English,brown
0,equal/far,English,blue
0,closer/close,English,magenta
0,closer/close,English,dark grey
0,equal/far,English,DARK YOU IDIOT. This one is orange
0,closer/close,English,dark purple
0,equal/far,English,green
0,further/split,English,purple
0,further/split,English,lime green
0,closer/close,English,purplish
0,equal/far,English,teal
0,equal/far,English,purple
1,closer/close,English,darker blue
0,further/split,English,green
0,equal/far,English,brown
0,equal/far,English,tealish
0,closer/close,English,grey
1,closer/close,English,darker green
0,equal/far,English,tan orange
0,equal/far,English,green
0,equal/far,English,ugly tan
0,further/split,English,other one
0,further/split,English,green
1,further/split,English,lesser purple
0,equal/far,English,pink
0,further/split,English,red
0,equal/far,English,yellow
0,further/split,English,dark purple
0,further/split,English,orange
1,closer/close,English,darker purple
0,closer/close,English,bluish grey
0,closer/close,English,dark purple
0,further/split,English,grey
0,further/split,English,purple
0,further/split,English,green
0,closer/close,English,grey
0,closer/close,English,medium green
0,further/split,English,blue grey
0,equal/far,English,purple grey
0,closer/close,English,darkest green
0,closer/close,English,teal
0,equal/far,English,orange
0,equal/far,English,orange
0,equal/far,English,grey
0,further/split,English,pink
0,closer/close,English,meduim green
0,closer/close,English,teal
0,further/split,English,brownish yellow
0,further/split,English,blue
0,closer/close,English,bright blue
0,closer/close,English,pink puirple
0,closer/close,English,darkest blue
0,closer/close,English,blue
0,equal/far,English,green
0,further/split,English,darkest blue
0,equal/far,English,purple
0,equal/far,English,blue
0,equal/far,English,you rock
0,further/split,English,hi
0,further/split,English,Gray Box
0,equal/far,English,Gray Box
0,further/split,English,Gray Box
1,further/split,English,you can just put the color if you'd like. less typing?
0,further/split,English,Navy Blue
0,further/split,English,oops
0,further/split,English,Blue
0,equal/far,English,Greenish
0,closer/close,English,do we have a score?
0,closer/close,English,Brightest Color
0,closer/close,English,Lighter Blue
0,equal/far,English,Green
0,closer/close,English,Most Gray
0,further/split,English,Darker Green
0,further/split,English,gj so far!
0,further/split,English,Brighter Green
0,closer/close,English,Some of these are actually hard to describe hehe.
0,closer/close,English,Yellow
0,closer/close,English,lol i bet right?
0,closer/close,English,Purple
0,closer/close,English,Purple
0,closer/close,English,Darker Blue
0,closer/close,English,mani can't catch any hits today
0,closer/close,English,nothing good anyway
0,closer/close,English,Brighter Grayish Green
0,equal/far,English,Pink
0,closer/close,English,Second Brightest.
0,closer/close,English,gj!
0,equal/far,English,Red
0,equal/far,English,Grayish
0,closer/close,English,Pink
0,closer/close,English,this is a good hit
0,equal/far,English,Green
0,equal/far,English,Yeah really enjoying it so far
0,further/split,English,Orange
0,closer/close,English,i've done one like this before but with animals
0,closer/close,English,Darker Purple
0,closer/close,English,woops
0,equal/far,English,Orange
0,closer/close,English,can u see when i pick the wrong one?
0,closer/close,English,Darker Brown
0,further/split,English,Yeah I can see.  No worries though :)
0,further/split,English,ok lol :)
0,further/split,English,Darker Grayish Blue
0,closer/close,English,Darker Purple
0,closer/close,English,shoot
0,closer/close,English,wonder what this is testing
0,closer/close,English,Green'ish Gray
0,equal/far,English,Blue
0,equal/far,English,No idea hehe
0,equal/far,English,blue??
0,equal/far,English,i see gren grey and purple
0,equal/far,English,Purple ish maybe
0,equal/far,English,k
0,further/split,English,Brightest Purple
0,further/split,English,one of the quals on here should be 'not colorblind'
0,equal/far,English,No kidding
0,equal/far,English,Blue
0,further/split,English,Gray
0,closer/close,English,brown
0,equal/far,English,Green
0,further/split,English,Grayish Purple
0,further/split,English,Doh
0,further/split,English,Green
0,further/split,English,oopsy
1,further/split,English,lighter green
0,equal/far,English,Brown
0,equal/far,English,gj so far
0,equal/far,English,Green
1,equal/far,English,This is harder than I expected lol
0,equal/far,English,Blue
0,equal/far,English,haha
0,further/split,English,Green
0,further/split,English,maybe we'll get a bonus if we do good
0,further/split,English,Yellow
0,further/split,English,Greenish gray
0,equal/far,English,Regular Blue
0,equal/far,English,Hopefully we get something
0,closer/close,English,Purple Gray
0,closer/close,English,yeah :)
0,equal/far,English,Not Green or Blue
0,closer/close,English,oops!
0,closer/close,English,sorry man
0,closer/close,English,Regular Blue
0,closer/close,English,No worries
0,equal/far,English,Blue
0,equal/far,English,green
0,closer/close,English,brown
0,further/split,English,purple
0,equal/far,English,blue
0,further/split,English,green
0,closer/close,English,normal blue
0,closer/close,English,grayish purple
0,further/split,English,bluish green
0,further/split,English,tan
0,equal/far,English,blue
0,closer/close,English,purple
0,equal/far,English,gray
0,equal/far,English,green
0,further/split,English,gray
0,equal/far,English,purple
0,equal/far,English,blue
0,further/split,English,blue
0,equal/far,English,purple
0,closer/close,English,purple
0,closer/close,English,forest green
0,further/split,English,purple
0,equal/far,English,brown
1,closer/close,English,lighter purple
0,further/split,English,blue
1,further/split,English,darker green
0,closer/close,English,purple
0,further/split,English,copper
0,further/split,English,blue
0,equal/far,English,green
0,further/split,English,gray
1,further/split,English,brighter red
1,closer/close,English,brighter green
0,equal/far,English,pink
0,further/split,English,gray
0,equal/far,English,blue
1,further/split,English,darker green
1,closer/close,English,darker blue
0,closer/close,English,pastel green
0,equal/far,English,gray
0,equal/far,English,greenish gray
1,closer/close,English,darker green
0,closer/close,English,grayish green
0,closer/close,English,green
1,closer/close,English,more normal green
0,further/split,English,blue
0,equal/far,English,red
0,equal/far,English,green
0,closer/close,English,forest green
0,closer/close,English,copper
0,further/split,English,reddish gray
0,closer/close,English,hello
0,closer/close,English,dark green
0,equal/far,English,Hi!
0,equal/far,English,light blue
0,further/split,English,orange
0,closer/close,English,brown?
0,equal/far,English,gray
0,further/split,English,gray
0,further/split,English,olive green
0,further/split,English,purple
0,further/split,English,blue
0,closer/close,English,olive green
0,closer/close,English,blue
0,further/split,English,orange
0,further/split,English,green
0,further/split,English,green
0,closer/close,English,gray?
0,further/split,English,blue
0,closer/close,English,brown
0,closer/close,English,blue/green
0,equal/far,English,"Ack, sorry"
0,equal/far,English,blue
0,closer/close,English,"no problem, i don't think i'm giving the best descriptions"
0,closer/close,English,dark orange
0,further/split,English,yellow
0,closer/close,English,purple
0,closer/close,English,"Some are hard to see, haha"
0,closer/close,English,gray/blue
0,equal/far,English,my vocabulary is lacking
0,equal/far,English,otherwise i'd give accurate descriptions lol
0,equal/far,English,purple
0,equal/far,English,"No worries, you're doing great"
0,closer/close,English,blue/gray
0,closer/close,English,orange/red
0,equal/far,English,light blue
0,further/split,English,light green
0,further/split,English,olive green
0,further/split,English,purple
0,closer/close,English,bright pink
0,equal/far,English,dark blue
0,equal/far,English,light blue
0,closer/close,English,dark green
0,equal/far,English,yellow
0,equal/far,English,green
0,equal/far,English,orange
0,equal/far,English,green
0,closer/close,English,brown?
0,further/split,English,green/yellow
0,equal/far,English,brown
0,further/split,English,tan*
0,further/split,English,olive green
0,closer/close,English,bright purple
0,closer/close,English,dark green
0,equal/far,English,orange
0,further/split,English,bright purple
0,equal/far,English,bright purple
0,equal/far,English,green
0,equal/far,English,blue/green
0,equal/far,English,hope you have a wonderful day
0,further/split,English,You too! Thanks a bunch!
0,further/split,English,blue :D
0,closer/close,English,grey
0,further/split,English,brownish color
0,equal/far,English,gold
0,further/split,English,red
0,closer/close,English,grey
0,equal/far,English,gold
0,closer/close,English,neon green
0,closer/close,English,neon purple
0,equal/far,English,violet
1,further/split,English,darker blue
0,further/split,English,grey
0,equal/far,English,orange
0,further/split,English,green
0,further/split,English,grey
0,equal/far,English,tan
0,equal/far,English,green
0,closer/close,English,hi
0,closer/close,English,hi
0,closer/close,English,neon violet
0,equal/far,English,violet
0,further/split,English,pale green
0,equal/far,English,neon green
0,closer/close,English,brownish
0,closer/close,English,pale violet
0,further/split,English,neon pink
0,closer/close,English,dark blue
0,equal/far,English,violet
0,further/split,English,hi
0,further/split,English,pale teal
0,further/split,English,teal
1,further/split,English,sky blue looking or the darker one?
0,further/split,English,sky blue
0,further/split,English,purple
1,further/split,English,darker purple
0,further/split,English,brown
0,closer/close,English,dark green
0,closer/close,English,dark purple
0,equal/far,English,green
0,equal/far,English,purple
0,further/split,English,pale purple
0,closer/close,English,neon green
0,closer/close,English,golden green
0,equal/far,English,violet
0,equal/far,English,tan
1,further/split,English,darker green
1,further/split,English,more grey or mint green?
1,further/split,English,more grey
1,closer/close,English,lighter grey
0,equal/far,English,purplish blue
0,equal/far,English,red
0,closer/close,English,pea green
0,closer/close,English,brownish violet
0,closer/close,English,dark greyish violet
0,equal/far,English,gold
0,further/split,English,grey
0,equal/far,English,green
0,closer/close,English,grey
0,further/split,English,pale pink
0,further/split,English,purple is the object
0,further/split,English,purple is the object
0,closer/close,English,the blue-ish one
0,closer/close,English,lightest block
0,further/split,English,most olive green one
0,closer/close,English,most regular purple??
0,equal/far,English,green
0,closer/close,English,most brown looking one
0,equal/far,English,teal
0,further/split,English,faded blue
0,further/split,English,gray looking one
0,closer/close,English,brightest blue
0,closer/close,English,yellow-brown one
0,closer/close,English,olive green
0,equal/far,English,gray
0,further/split,English,light brown
0,further/split,English,the one that is a bit reddish or the other?
0,further/split,English,they both look siml
1,further/split,English,"sorry, brighter of the two"
0,equal/far,English,"sorry, they really look the same"
0,equal/far,English,blue
0,equal/far,English,green
0,equal/far,English,brown
0,further/split,English,gray
0,closer/close,English,one with most green in it
0,further/split,English,bright green
0,closer/close,English,most blue looking one
0,further/split,English,most gray
0,further/split,English,most yellowish one
0,closer/close,English,brightest
0,closer/close,English,darkest blue
0,closer/close,English,brightest green
0,further/split,English,flat purple
0,equal/far,English,orange
0,closer/close,English,bright pink
0,closer/close,English,rpurple
0,closer/close,English,light but flat pink
0,equal/far,English,red
0,further/split,English,brightest yellow
0,equal/far,English,purple
0,equal/far,English,purple
0,equal/far,English,most orange
0,equal/far,English,basic gray
0,closer/close,English,most gray of them
0,further/split,English,the most pinkish puple
0,equal/far,English,greenish one
0,further/split,English,flat brownish one
1,further/split,English,darker gray
0,equal/far,English,blue
0,further/split,English,yellowish brown
0,equal/far,English,light teal
0,equal/far,English,blue one
0,further/split,English,purple gray with no pink
0,closer/close,English,most blue
0,closer/close,English,"thanks, you got the hard job!"
0,further/split,English,hello
0,further/split,English,Hi
0,further/split,English,Target is green-blue square
0,closer/close,English,Target is darkest purple
0,further/split,English,Target is Magenta
0,closer/close,English,Magenta again
0,equal/far,English,Dark blue
0,further/split,English,Grayest one
0,further/split,English,Olive Green
0,further/split,English,Lime Green
0,equal/far,English,Purple
0,equal/far,English,Magenta
0,closer/close,English,Blue Gray
0,closer/close,English,Dull Purple
0,closer/close,English,Grayest one
0,closer/close,English,Bright Green
0,further/split,English,Blue
0,equal/far,English,Red
0,closer/close,English,Tan
0,further/split,English,Grass Green
0,further/split,English,Green
0,further/split,English,Tan
0,equal/far,English,Yellow
0,closer/close,English,grass green
0,equal/far,English,bright blue
0,further/split,English,gunmetal gray
0,equal/far,English,green
0,equal/far,English,red
0,further/split,English,bright purple
0,equal/far,English,yellow
0,further/split,English,yellow
0,further/split,English,yellow
0,further/split,English,gray
0,equal/far,English,purple
0,closer/close,English,dull green
0,equal/far,English,gray
0,equal/far,English,brown
0,closer/close,English,sky blue
0,closer/close,English,jungle green
1,closer/close,English,darker or lighter
0,closer/close,English,dullest one
1,closer/close,English,darker
0,equal/far,English,blue
0,further/split,English,lime green
0,further/split,English,purple
1,closer/close,English,"olive green, darker"
0,closer/close,English,bright blue
0,equal/far,English,green
0,closer/close,English,brightest blue
1,closer/close,English,darker or lighter
1,closer/close,English,lighter
0,closer/close,English,blue
0,equal/far,English,blue
0,equal/far,English,purple
0,closer/close,English,tan
0,further/split,English,green
0,equal/far,English,tan
0,closer/close,English,What is the target? Are you there
0,closer/close,English,"Yes, one sec the screen is all messed up!"
0,closer/close,English,This doesn't look right.
0,closer/close,English,Are you still there?
0,closer/close,English,"Yes, it is messed up over here too"
0,closer/close,English,It's too large over here
0,closer/close,English,Wow. . . Round #2 now up. Combination of three shades of green on my end.
0,closer/close,English,"yes, same here"
0,closer/close,English,same here
0,closer/close,English,my squares are huge!
0,closer/close,English,"Plus, the advancing is a mess"
0,closer/close,English,I am supposed to be able to click on the target but I can't
0,closer/close,English,Can you?
0,closer/close,English,Lol
0,closer/close,English,"no, I was waiting for you"
0,closer/close,English,I thought you left
1,closer/close,English,So I was contacting the requester as to what to do.
0,closer/close,English,I can try here
0,closer/close,English,So color
0,closer/close,English,Hints
0,closer/close,English,"The one that is dull, not vibrant"
0,equal/far,English,Yup. We got that one right!
0,equal/far,English,Very bright
0,equal/far,English,like the sun
0,equal/far,English,2 for 2 man! We're on a roll now!
0,equal/far,English,Or woman. . . Sorry if you're not male.
0,equal/far,English,woman
0,equal/far,English,no worries
0,equal/far,English,Whew. . . Boy do I feel silly. Anyhow.
0,equal/far,English,"very, bright, like hot"
0,equal/far,English,color
0,closer/close,English,"no, lol, don't feel silly"
0,closer/close,English,3 in a row!
0,closer/close,English,real dull army color
0,closer/close,English,electric
0,further/split,English,um
0,further/split,English,Opps. I took electric as deep purple. My bad.
0,further/split,English,lol
0,further/split,English,this one is like an herb
0,further/split,English,not bright
0,further/split,English,fragrence
0,further/split,English,not bright
0,further/split,English,Missed again. . .
0,further/split,English,very toned done
0,further/split,English,down
0,closer/close,English,um
0,closer/close,English,well
0,closer/close,English,Back on track. Got that one. This one is going to be tough.
1,closer/close,English,darker?
0,closer/close,English,like baby poop
0,closer/close,English,That was too close to call. I missed again. You're doing well. . .
0,equal/far,English,the one that is most purple
1,equal/far,English,That is funny. . . My baby pooped darker green.
0,equal/far,English,lol
0,equal/far,English,We score again!
0,equal/far,English,yes!
0,equal/far,English,bright
0,equal/far,English,2 in a row again!
0,equal/far,English,mint
0,equal/far,English,Tres` Amigos!
0,equal/far,English,brown
0,closer/close,English,Four!
1,closer/close,English,lighter blue
0,closer/close,English,Uh oh. . . another toughie. . .
0,closer/close,English,right
0,equal/far,English,hot pink
0,equal/far,English,But we score!
0,further/split,English,That was easy!
0,further/split,English,most purple
0,further/split,English,grape
0,equal/far,English,turquoise
0,equal/far,English,Another easy one? We've got like at least 6 in row. Make that 7.
0,closer/close,English,purple
0,closer/close,English,Not blue?
0,further/split,English,neon
0,further/split,English,green
0,further/split,English,dull purple
1,closer/close,English,brighter blue
0,closer/close,English,I know that is at least 10 in row. . . We're hot now!
0,closer/close,English,baby bluish
0,equal/far,English,grey
0,equal/far,English,"Ah, I went with the wrong blue. . ."
0,closer/close,English,it's ok
0,closer/close,English,Got that one.
0,closer/close,English,hard
0,closer/close,English,bluest
0,further/split,English,a bit of green
0,equal/far,English,purple
1,closer/close,English,more brownish
0,closer/close,English,We're back on target. . . Now the greenie beanies again!
0,closer/close,English,yes
0,closer/close,English,grey
0,closer/close,English,Nice call on the brownish.
0,equal/far,English,blue
0,further/split,English,most orange
0,equal/far,English,grey
0,further/split,English,grey
0,further/split,English,turquoise
0,closer/close,English,sorry
0,closer/close,English,blue
0,closer/close,English,"No, I clicked on the wrong box."
0,equal/far,English,blue
0,equal/far,English,greenish
0,equal/far,English,purple
0,further/split,English,light purple
0,equal/far,English,green
0,further/split,English,dull purple
