,Usage,Condition,Language,Message
0,0,further/split,Chinese,hi
1,0,further/split,Chinese,接近地
2,0,further/split,Chinese,的颜色
3,0,further/split,Chinese,灰色？
4,0,equal/far,Chinese,？
5,0,further/split,Chinese,？
6,0,equal/far,Chinese,树的颜色
7,0,closer/close,Chinese,冷色
8,0,further/split,Chinese,草的颜色
9,0,equal/far,Chinese,肉桂
10,0,equal/far,Chinese,？
11,0,equal/far,Chinese,？
12,0,closer/close,Chinese,？
13,0,closer/close,Chinese,？
14,0,further/split,Chinese,？
15,0,further/split,Chinese,深色的血液
16,0,closer/close,Chinese,深海
17,0,further/split,Chinese,女士 高雅
18,0,equal/far,Chinese,龙
19,0,further/split,Chinese,土地
20,0,closer/close,Chinese,最深
21,0,further/split,Chinese,艳丽
22,0,further/split,Chinese,两种稍微深些
23,0,further/split,Chinese,暗些
24,0,equal/far,Chinese,土地
25,0,closer/close,Chinese,不同的
26,0,closer/close,Chinese,明亮
27,0,equal/far,Chinese,暗
28,0,closer/close,Chinese,两同色中暗些
29,0,closer/close,Chinese,深
30,0,equal/far,Chinese,暗些
31,0,equal/far,Chinese,大海
32,0,further/split,Chinese,中老年女
33,0,further/split,Chinese,土地
34,0,further/split,Chinese,明亮
35,0,closer/close,Chinese,暗色
36,0,equal/far,Chinese,基佬
37,0,further/split,Chinese,暗
38,0,closer/close,Chinese,暗
39,0,equal/far,Chinese,女士
40,0,further/split,Chinese,两色中明亮一些
41,0,equal/far,Chinese,大海
42,0,equal/far,Chinese,基佬
43,0,equal/far,Chinese,明亮
44,0,closer/close,Chinese,土地 深些
45,0,further/split,Chinese,中暗
46,0,closer/close,Chinese,暗色
47,0,equal/far,Chinese,女士
48,0,further/split,Chinese,两同色中暗些
49,0,further/split,Chinese,明亮树
50,0,closer/close,Chinese,树 暗些
51,0,closer/close,Chinese,土地
52,0,closer/close,Chinese,女士 明亮
53,0,further/split,Chinese,树 明亮些
54,0,equal/far,Chinese,天空
55,0,equal/far,Chinese,血液
56,0,closer/close,Chinese,大海
57,0,equal/far,Chinese,暗些
58,0,closer/close,Chinese,土地
59,0,equal/far,Chinese,橙子
60,0,closer/close,Chinese,最深
61,0,equal/far,Chinese,不是树，不是天空
62,0,equal/far,Chinese,浅海
63,0,further/split,Chinese,天空
64,0,further/split,Chinese,大海
65,0,closer/close,Chinese,最深的色
66,0,equal/far,Chinese,请描述。。。
67,0,equal/far,Chinese,仍然没看到任何描述。。。
68,0,closer/close,Chinese,演说者了解他/她的任务吗？
69,0,equal/far,Chinese,红色
70,0,further/split,Chinese,绿色
71,0,equal/far,Chinese,黄色
72,0,closer/close,Chinese,红绿灯的绿色
73,0,further/split,Chinese,红绿灯的绿色
74,0,equal/far,Chinese,红
75,0,further/split,Chinese,不是蓝色也不是粉红色的那个颜色
76,0,further/split,Chinese,猪肝色吗？
77,0,further/split,Chinese,哈哈是的
78,0,closer/close,Chinese,最接近黄色的那个
79,0,closer/close,Chinese,墨绿色
80,0,equal/far,Chinese,蓝色
81,0,further/split,Chinese,橙色
82,0,further/split,Chinese,不是紫色也不是灰色
83,0,closer/close,Chinese,最亮的红色
84,0,closer/close,Chinese,粉红色吗？
85,0,closer/close,Chinese,是的
86,0,equal/far,Chinese,灰色
87,0,further/split,Chinese,墨绿
88,0,further/split,Chinese,带青色或带蓝色？
89,0,further/split,Chinese,青色
90,0,equal/far,Chinese,深蓝色
91,0,further/split,Chinese,土黄色
92,0,further/split,Chinese,猪肝色
93,0,closer/close,Chinese,程度居中的绿色
94,0,further/split,Chinese,墨绿色
95,0,further/split,Chinese,土黄色
96,0,further/split,Chinese,黄色较浓吗？
97,0,further/split,Chinese,较淡
98,0,equal/far,Chinese,灰色
99,0,closer/close,Chinese,蓝灰色
100,0,equal/far,Chinese,墨绿色
101,0,closer/close,Chinese,紫色
102,0,closer/close,Chinese,带红色或带蓝色？
103,0,closer/close,Chinese,带蓝色
104,0,closer/close,Chinese,和上一题一样的颜色
105,0,further/split,Chinese,大红
106,0,further/split,Chinese,灰色
107,0,equal/far,Chinese,不是红色也不是蓝色
108,0,further/split,Chinese,墨绿色
109,0,equal/far,Chinese,灰色
