,Length,Language,roundid
0,3,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.14
1,2,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.1
2,1,Chinese,9485-a972797e-4d32-4a76-94ca-5ed073e2226f.50
3,1,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.40
4,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.35
5,3,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.43
6,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.7
7,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.8
8,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.34
9,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.37
10,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.36
11,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.35
12,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.34
13,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.33
14,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.32
15,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.31
16,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.30
17,5,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.2
18,3,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.3
19,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.9
20,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.1
21,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.6
22,6,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.7
23,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.39
24,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.38
25,7,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.4
26,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.5
27,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.6
28,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.7
29,5,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.1
30,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.2
31,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.3
32,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.11
33,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.8
34,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.9
35,1,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.38
36,1,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.39
37,2,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.20
38,1,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.9
39,1,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.30
40,3,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.31
41,2,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.32
42,3,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.33
43,1,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.34
44,1,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.35
45,1,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.36
46,1,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.37
47,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.25
48,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.8
49,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.9
50,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.22
51,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.41
52,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.9
53,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.18
54,1,Chinese,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f.8
