,Length,Language,Messsage
0,2,Chinese,接近地
1,2,Chinese,的颜色
2,1,Chinese,灰色
3,3,Chinese,树的颜色
4,1,Chinese,冷色
5,3,Chinese,草的颜色
6,1,Chinese,肉桂
7,1,Chinese,红
8,1,Chinese,红
9,1,Chinese,紅
10,3,Chinese,深色的血液
11,1,Chinese,深海
12,3,Chinese,女士 高雅
13,1,Chinese,龙
14,1,Chinese,土地
15,1,Chinese,最深
16,1,Chinese,艳丽
17,3,Chinese,两种稍微深些
18,1,Chinese,暗些
19,1,Chinese,土地
20,2,Chinese,不同的
21,1,Chinese,明亮
22,1,Chinese,暗
23,3,Chinese,两同色中暗些
24,1,Chinese,深
25,1,Chinese,暗些
26,1,Chinese,大海
27,2,Chinese,中老年女
28,1,Chinese,土地
29,1,Chinese,明亮
30,1,Chinese,暗色
31,1,Chinese,基佬
32,1,Chinese,暗
33,1,Chinese,暗
34,1,Chinese,女士
35,4,Chinese,两色中明亮一些
36,1,Chinese,大海
37,1,Chinese,基佬
38,1,Chinese,明亮
39,3,Chinese,土地 深些
40,1,Chinese,中暗
41,1,Chinese,暗色
42,1,Chinese,女士
43,3,Chinese,两同色中暗些
44,2,Chinese,明亮树
45,3,Chinese,树 暗些
46,1,Chinese,土地
47,3,Chinese,女士 明亮
48,4,Chinese,树 明亮些
49,1,Chinese,天空
50,1,Chinese,血液
51,1,Chinese,大海
52,1,Chinese,暗些
53,1,Chinese,土地
54,1,Chinese,橙子
55,1,Chinese,最深
56,4,Chinese,不是树不是天空
57,1,Chinese,浅海
58,1,Chinese,天空
59,1,Chinese,大海
60,3,Chinese,最深的色
61,5,Chinese, 我要继续等待吗
62,11,Chinese,我已经等待了将近25分钟了我应该怎么办
63,2,Chinese,请描述
64,5,Chinese,仍然没看到任何描述
65,8,Chinese,演说者了解他/她的任务吗
66,1,Chinese,红色
67,1,Chinese,绿色
68,1,Chinese,黄色
69,3,Chinese,红绿灯的绿色
70,3,Chinese,红绿灯的绿色
71,1,Chinese,红
72,8,Chinese,不是蓝色也不是粉红色的那个颜色
73,2,Chinese,猪肝色吗
74,3,Chinese,哈哈是的
75,5,Chinese,最接近黄色的那个
76,1,Chinese,墨绿色
77,1,Chinese,蓝色
78,1,Chinese,橙色
79,5,Chinese,不是紫色也不是灰色
80,3,Chinese,最亮的红色
81,2,Chinese,粉红色吗
82,2,Chinese,是的
83,1,Chinese,灰色
84,1,Chinese,墨绿
85,5,Chinese,带青色或带蓝色
86,1,Chinese,青色
87,1,Chinese,深蓝色
88,1,Chinese,土黄色
89,1,Chinese,猪肝色
90,4,Chinese,程度居中的绿色
91,1,Chinese,墨绿色
92,1,Chinese,土黄色
93,4,Chinese,黄色较浓吗
94,1,Chinese,较淡
95,1,Chinese,灰色
96,1,Chinese,蓝灰色
97,1,Chinese,墨绿色
98,1,Chinese,紫色
99,5,Chinese,带红色或带蓝色
100,2,Chinese,带蓝色
101,6,Chinese,和上一题一样的颜色
102,1,Chinese,大红
103,1,Chinese,灰色
104,5,Chinese,不是红色也不是蓝色
105,1,Chinese,墨绿色
106,1,Chinese,灰色
107,1,Chinese,猪肝
108,1,Chinese,浅绿色
109,1,Chinese,蓝绿色
110,3,Chinese,蓝较多吗
111,2,Chinese,较少
112,1,Chinese,紫色
113,1,Chinese,蓝色
114,1,Chinese,黄色
115,1,Chinese,绿色
116,2,Chinese,黄色最少
117,1,Chinese,蓝色
118,1,Chinese,红色
119,1,Chinese,红色
120,1,Chinese,红色
121,1,Chinese,黄
122,1,Chinese,浅绿色
123,1,Chinese,蓝色
124,1,Chinese,粉红
125,1,Chinese,你好
126,1,Chinese,022645
127,4,Chinese,深一点的蓝色
128,1,Chinese,紫色
129,1,Chinese,灰绿色
130,1,Chinese,灰色
131,1,Chinese,绿色
132,1,Chinese,灰黄色
133,1,Chinese,紫色
134,2,Chinese,暗粉色
135,1,Chinese,亮
136,1,Chinese,红色
137,1,Chinese,金黄色
138,2,Chinese,暗粉色
139,3,Chinese,暗粉红色吗
140,1,Chinese,是
141,1,Chinese,黄色
142,1,Chinese,紫色
143,1,Chinese,绿色
144,1,Chinese,天蓝色
145,1,Chinese,浅绿色
146,1,Chinese,蓝紫色
147,1,Chinese,绿色
148,1,Chinese,绿色
149,2,Chinese,黄灰色
150,1,Chinese,紫色
151,1,Chinese,灰色
152,1,Chinese,灰色
153,1,Chinese,土黄色
154,4,Chinese,重点是土吗
155,2,Chinese,泥黄色
156,3,Chinese,最亮的绿色
157,1,Chinese,红色
158,1,Chinese,紫色
159,1,Chinese,绿色
160,1,Chinese,土黃色
161,1,Chinese,绿色
162,1,Chinese,天蓝色
163,1,Chinese,紫色
164,2,Chinese,金秋色
165,3,Chinese,秋天落叶吗
166,1,Chinese,紫色
167,2,Chinese,亮粉色
168,1,Chinese,蓝色
169,1,Chinese,绿色
170,2,Chinese,粉蓝色
171,2,Chinese,灰蓝色
172,1,Chinese,黄绿色
173,1,Chinese,灰色
174,1,Chinese,黄色
175,1,Chinese,灰黄色
176,2,Chinese,亮绿色
177,1,Chinese,黄色
178,1,Chinese,灰色
179,1,Chinese,深蓝色
180,2,Chinese,黃色
181,1,Chinese,灰色
182,1,Chinese,灰色
183,1,Chinese,你好
184,1,Chinese,你好
185,3,Chinese,要选哪一个
186,2,Chinese,淡粉色
187,1,Chinese,深棕色
188,1,Chinese,浅绿色
189,1,Chinese,深灰色
190,1,Chinese,蓝绿色
191,1,Chinese,哈
192,1,Chinese,紫色
193,2,Chinese,亮绿色
194,1,Chinese,深绿色
195,4,Chinese,看起来是蓝色吧
196,1,Chinese,紫色
197,2,Chinese,深的
198,2,Chinese,中间的
199,2,Chinese,不是粉色
200,1,Chinese,黄
201,1,Chinese,绿
202,1,Chinese,粉
203,1,Chinese,深蓝
204,2,Chinese,亮蓝
205,1,Chinese,哎呀
206,1,Chinese,深蓝
207,1,Chinese,草绿
208,1,Chinese,粉色
209,1,Chinese,黄绿色
210,1,Chinese,粉色
211,2,Chinese,亮蓝
212,1,Chinese,深灰色
213,1,Chinese,深紫色
214,1,Chinese,蓝色
215,1,Chinese,墨绿
216,1,Chinese,灰色
217,1,Chinese,红
218,3,Chinese,接近皮肤颜色
219,1,Chinese,青草
220,3,Chinese,浪漫的颜色
221,3,Chinese,秋天的草色
222,1,Chinese,草色
223,1,Chinese,深色
224,3,Chinese,浪漫的颜色
225,1,Chinese,深色
226,3,Chinese,深色的夕阳
227,3,Chinese,发芽的草色
228,1,Chinese,血色
229,1,Chinese,深色
230,2,Chinese,快速键入
231,1,Chinese,深色
232,1,Chinese,大海
233,2,Chinese,公主色
234,1,Chinese,烂漫
235,1,Chinese,青草
236,2,Chinese,同上
237,1,Chinese,浪漫
238,1,Chinese,亮色
239,1,Chinese,深色
240,1,Chinese,深色
241,1,Chinese,亮色
242,1,Chinese,血色
243,1,Chinese,深色
244,1,Chinese,深色
245,1,Chinese,深色
246,1,Chinese,烂漫
247,1,Chinese,淡色
248,1,Chinese,青草
249,1,Chinese,中色
250,3,Chinese,难看的颜色
251,1,Chinese,浪漫
252,1,Chinese,难看
253,1,Chinese,中色
254,1,Chinese,中色
255,2,Chinese,难看色
256,1,Chinese,青草
257,1,Chinese,深色
258,1,Chinese,烂漫
259,1,Chinese,难看
260,1,Chinese,浪漫
261,3,Chinese,天的色
262,1,Chinese,嫩草
263,3,Chinese,天的色
264,1,Chinese,深色
265,1,Chinese,深色
266,1,Chinese,深色
267,1,Chinese,深色
268,1,Chinese,难看
269,4,Chinese,慢行交通灯的颜色
270,6,Chinese,荷兰足球队最常穿的颜色
271,6,Chinese,美国国旗上的一种颜色
272,4,Chinese,颜色最亮的一个
273,4,Chinese,不是紫色不是浅灰
274,4,Chinese,不是深蓝不是浅蓝
275,1,Chinese,灰色
276,3,Chinese,最亮的绿色
277,1,Chinese,紫色
278,1,Chinese,蓝色
279,2,Chinese,蓝灰色吗
280,1,Chinese,天蓝色
281,1,Chinese,紫色
282,1,Chinese,深绿色
283,3,Chinese,草的颜色
284,2,Chinese,是的
285,1,Chinese,紫色
286,3,Chinese,是粉色吗
287,2,Chinese,是的
288,1,Chinese,土黄色
289,4,Chinese,不是蓝色不是粉色
290,1,Chinese,蓝色
291,1,Chinese,灰色
292,1,Chinese,灰色
293,3,Chinese,最亮的绿色
294,1,Chinese,紫色
295,1,Chinese,灰色
296,1,Chinese,紫色
297,8,Chinese,不是最亮的绿色第二亮的绿色
298,5,Chinese,颜色较深的绿色
299,2,Chinese,偏黄色
300,3,Chinese,偏绿不偏黄
301,2,Chinese,偏紫色
302,1,Chinese,蓝色
303,2,Chinese,不是蓝色
304,1,Chinese,黄色
305,1,Chinese,不是
306,1,Chinese,蓝色
307,1,Chinese,偏灰
308,2,Chinese,偏绿色
309,2,Chinese,不偏绿
310,4,Chinese,比较暗的蓝色
311,4,Chinese,亮度居中的绿色
312,1,Chinese,绿色
313,4,Chinese,亮度居中的蓝色
314,2,Chinese,偏灰色
315,1,Chinese,不是
316,3,Chinese,最亮的绿色
317,6,Chinese,偏暗的蓝色 不是紫色
318,1,Chinese,深蓝色
319,1,Chinese,不是
