negation,Condition,Language,Message
False,closer/close,English,The darker blue one
False,equal/far,English,purple
False,closer/close,English,Medium pink
False,closer/close,English,the medium dark one
False,further/split,English,lime
False,equal/far,English,Mint green.
False,equal/far,English,Mud brown
False,further/split,English,Mud brown
False,further/split,English,Camo green
False,further/split,English,Darkish red
False,equal/far,English,Grey
False,equal/far,English,Purple
False,closer/close,English,"Darkest shade of green, forest green"
False,further/split,English,"One of the brown ones, the lighter shaded one"
True,further/split,English,The more vibrantly red one... not the more purple one
False,equal/far,English,blue
False,equal/far,English,Plain blue
False,equal/far,English,Yellowish brownish orangish yellow
False,equal/far,English,lol
False,further/split,English,that was quite the description
False,further/split,English,Like that description? Haha
False,further/split,English,Thank you.
False,further/split,English,Grey
False,further/split,English,Camo green
False,closer/close,English,Brown
False,closer/close,English,Neon pink
False,further/split,English,oopsies. I think they're both a bit neon
True,further/split,English,the greyish one that's not the browner one
False,further/split,English,Brown
False,further/split,English,forest green
False,closer/close,English,greyest one
False,closer/close,English,darker red
False,closer/close,English,red
False,closer/close,English,"purple, darker one"
False,further/split,English,orange
False,further/split,English,dark green
False,equal/far,English,grey
False,further/split,English,green
True,closer/close,English,"brown. not the yellow one or classic brown one, the weirder one"
False,closer/close,English,I like the weirder one
True,closer/close,English,Hahaha. Me too. This one is purple. Not neon and not lavender
False,equal/far,English,Red
True,further/split,English,"Lime green, not forest green"
False,further/split,English,blue
False,closer/close,English,light brown
False,equal/far,English,brown
False,closer/close,English,blue
False,closer/close,English,lightest shade of teal/blue/green
False,equal/far,English,blue
False,equal/far,English,dark yucky green
False,equal/far,English,grey
False,equal/far,English,grey
False,equal/far,English,red
False,closer/close,English,dark green
True,closer/close,English,not camo and not brown
False,equal/far,English,YELLOW!!!!
True,further/split,English,"select the bright green, not the olive"
False,equal/far,English,green
False,equal/far,English,red
False,equal/far,English,grey
True,closer/close,English,brownish-cream; not grey or pinkish
False,equal/far,English,blue
False,closer/close,English,grey (you're doing great)
False,closer/close,English,thanks. good descriptions.
True,closer/close,English,teal (not the two that are more green)
False,further/split,English,brownish
False,closer/close,English,the bright green
False,equal/far,English,brownish
False,equal/far,English,reddish
False,closer/close,English,grey
False,further/split,English,dark blue
False,further/split,English,purple
True,further/split,English,dark pink; not bright pink
False,closer/close,English,brightest green
False,closer/close,English,brightest green
False,closer/close,English,"dark purple (good job on the last two, by the way)"
False,further/split,English,thanks
True,further/split,English,"dark orange (not the red, and not the lighter orange)"
True,further/split,English,purple; not pink or teal (good on the last one)
False,closer/close,English,darkest green
False,closer/close,English,brightest pink
True,closer/close,English,grey; not grey-brown or red
False,closer/close,English,grey-green
False,further/split,English,grey-purple
True,equal/far,English,olive (not teal or bright green)
True,further/split,English,bright blue (not one with hint of purple)
False,equal/far,English,grey
False,further/split,English,dull purple
False,further/split,English,teal
False,closer/close,English,olive
True,further/split,English,"green, but not neon green"
False,further/split,English,grey-teal (good on the last one)
False,equal/far,English,orange
False,equal/far,English,your descriptions are great
False,equal/far,English,grey
False,closer/close,English,grey-blue
False,equal/far,English,green
False,closer/close,English,darkest green
False,equal/far,English,pink
False,closer/close,English,yellow
False,further/split,English,purple
False,equal/far,English,green
False,further/split,English,red
False,equal/far,English,purple
True,further/split,English,darker grey (not the lighter green-grey)
False,further/split,English,normal grey
False,equal/far,English,orange
False,equal/far,English,green (nice job!  I think we got one wrong.  nice working with you)
False,further/split,English,lime green
False,closer/close,English,gray
False,equal/far,English,gray
False,equal/far,English,gray
False,further/split,English,the very dull red
False,further/split,English,lighter or darker
False,further/split,English,lighter
False,closer/close,English,gray
False,equal/far,English,the purplish one
False,equal/far,English,purple
False,further/split,English,blue
False,closer/close,English,the slightly darker pink
False,further/split,English,blue
False,closer/close,English,lime green
False,equal/far,English,brigher blue
False,closer/close,English,the medium blue
False,further/split,English,the dark bluish gray
False,equal/far,English,pink
False,closer/close,English,the orangeish one
False,closer/close,English,light green
False,equal/far,English,bright purple
False,closer/close,English,the darker gray
False,equal/far,English,turquoise
False,equal/far,English,green
False,further/split,English,blue gray
False,closer/close,English,blue
False,closer/close,English,bright pink
False,closer/close,English,the less greenish gray
False,further/split,English,bright blue
False,equal/far,English,gray
False,further/split,English,the darker gray
False,equal/far,English,red
False,closer/close,English,sky blue
False,equal/far,English,green
False,further/split,English,"light blue, but the slightly duller one"
False,closer/close,English,the more brownish one
False,equal/far,English,blue
False,equal/far,English,gray
False,further/split,English,the more bluish purple
False,closer/close,English,the bluish gray
True,closer/close,English,the one that's not bright green and not mint green
False,closer/close,English,the most reddish purple
False,further/split,English,red
False,further/split,English,darker purple
False,further/split,English,blue
False,further/split,English,purple
False,equal/far,English,pink
False,further/split,English,bright blue
False,equal/far,English,dark blue
False,further/split,English,dark gray
False,further/split,English,purple
False,closer/close,English,blue
False,equal/far,English,green
False,equal/far,English,brown
False,closer/close,English,"olive green, darkest"
False,equal/far,English,blue
False,closer/close,English,"darkest shade, army colored"
False,further/split,English,brightest teal
False,further/split,English,brightest purple
False,further/split,English,gold
False,equal/far,English,teal/blue
False,further/split,English,middle brightness
False,further/split,English,dark green
False,closer/close,English,purple on the right
False,further/split,English,darkest color
False,further/split,English,darker orange
False,further/split,English,dark green
False,closer/close,English,middle green
False,equal/far,English,darkest color
False,equal/far,English,blue
False,equal/far,English,orange
False,equal/far,English,blue
False,closer/close,English,blue
False,equal/far,English,purple
False,further/split,English,bright purple
False,equal/far,English,reddish
False,closer/close,English,bluest purple
False,equal/far,English,green
False,further/split,English,bluest green
False,closer/close,English,just pick a random one
False,equal/far,English,bright green
False,closer/close,English,darker olive
False,further/split,English,bright teal
False,further/split,English,magenta
False,closer/close,English,darkest green
False,equal/far,English,brown
False,equal/far,English,grey
False,closer/close,English,light blue
False,closer/close,English,neon green
False,closer/close,English,brown
