,Usage,Condition,Language,Message
0,0,further/split,Chinese,的颜色
1,0,further/split,Chinese,灰色？
2,0,equal/far,Chinese,树的颜色
3,0,closer/close,Chinese,冷色
4,0,further/split,Chinese,草的颜色
5,0,closer/close,Chinese,最深
6,0,further/split,Chinese,两种稍微深些
7,0,further/split,Chinese,暗些
8,0,closer/close,Chinese,两同色中暗些
9,0,equal/far,Chinese,暗些
10,0,further/split,Chinese,两色中明亮一些
11,0,further/split,Chinese,两同色中暗些
12,0,closer/close,Chinese,树 暗些
13,0,equal/far,Chinese,暗些
14,0,equal/far,Chinese,橙子
15,0,closer/close,Chinese,最深
16,0,closer/close,Chinese,最深的色
17,0,equal/far,Chinese,红色
18,0,further/split,Chinese,绿色
19,0,equal/far,Chinese,黄色
20,0,closer/close,Chinese,红绿灯的绿色
21,0,further/split,Chinese,红绿灯的绿色
22,0,equal/far,Chinese,红
23,0,further/split,Chinese,不是蓝色也不是粉红色的那个颜色
24,0,further/split,Chinese,猪肝色吗？
25,0,closer/close,Chinese,最接近黄色的那个
26,0,closer/close,Chinese,墨绿色
27,0,equal/far,Chinese,蓝色
28,0,further/split,Chinese,橙色
29,0,further/split,Chinese,不是紫色也不是灰色
30,0,closer/close,Chinese,最亮的红色
31,0,closer/close,Chinese,粉红色吗？
32,0,equal/far,Chinese,灰色
33,0,further/split,Chinese,墨绿
34,0,further/split,Chinese,带青色或带蓝色？
35,0,further/split,Chinese,青色
36,1,equal/far,Chinese,深蓝色
37,0,further/split,Chinese,土黄色
38,0,further/split,Chinese,猪肝色
39,0,closer/close,Chinese,程度居中的绿色
40,0,further/split,Chinese,墨绿色
41,0,further/split,Chinese,土黄色
42,0,further/split,Chinese,黄色较浓吗？
43,0,equal/far,Chinese,灰色
44,0,closer/close,Chinese,蓝灰色
45,0,equal/far,Chinese,墨绿色
46,0,closer/close,Chinese,紫色
47,0,closer/close,Chinese,带红色或带蓝色？
48,0,closer/close,Chinese,带蓝色
49,0,closer/close,Chinese,和上一题一样的颜色
50,0,further/split,Chinese,大红
51,0,further/split,Chinese,灰色
52,0,equal/far,Chinese,不是红色也不是蓝色
53,0,further/split,Chinese,墨绿色
54,0,equal/far,Chinese,灰色
55,0,equal/far,Chinese,浅绿色
56,1,closer/close,Chinese,蓝绿色
57,0,closer/close,Chinese,蓝较多吗？
58,0,further/split,Chinese,紫色
59,0,closer/close,Chinese,蓝色
60,0,equal/far,Chinese,黄色
61,0,equal/far,Chinese,绿色
62,0,closer/close,Chinese,黄色最少
63,0,further/split,Chinese,蓝色
64,0,equal/far,Chinese,红色
65,0,equal/far,Chinese,红色
66,0,further/split,Chinese,红色
67,0,closer/close,Chinese,黄
68,0,closer/close,Chinese,浅绿色
69,0,further/split,Chinese,蓝色
70,0,closer/close,Chinese,粉红
71,0,closer/close,Chinese,深一点的蓝色
72,0,further/split,Chinese,紫色
73,0,further/split,Chinese,灰绿色
74,0,equal/far,Chinese,灰色
75,0,equal/far,Chinese,绿色
76,0,closer/close,Chinese,灰黄色
77,0,equal/far,Chinese,紫色
78,0,closer/close,Chinese,暗粉色
79,0,closer/close,Chinese,红色
80,1,further/split,Chinese,金黄色
81,0,closer/close,Chinese,暗粉色
82,0,closer/close,Chinese,暗粉红色吗
83,0,further/split,Chinese,黄色
84,0,further/split,Chinese,紫色
85,0,equal/far,Chinese,绿色
86,0,equal/far,Chinese,天蓝色
87,0,further/split,Chinese,浅绿色
88,0,further/split,Chinese,蓝紫色
89,0,closer/close,Chinese,绿色
90,0,equal/far,Chinese,绿色
91,0,closer/close,Chinese,黄灰色
92,0,equal/far,Chinese,紫色
93,0,further/split,Chinese,灰色
94,0,equal/far,Chinese,灰色
95,0,further/split,Chinese,土黄色
96,0,further/split,Chinese,泥黄色
97,0,closer/close,Chinese,最亮的绿色
98,0,further/split,Chinese,红色
99,0,equal/far,Chinese,紫色
100,0,equal/far,Chinese,绿色
101,0,further/split,Chinese,绿色
102,0,further/split,Chinese,天蓝色
103,0,further/split,Chinese,紫色
104,1,further/split,Chinese,金秋色
105,0,further/split,Chinese,紫色
106,0,closer/close,Chinese,亮粉色
107,0,closer/close,Chinese,蓝色
108,0,equal/far,Chinese,绿色
109,0,closer/close,Chinese,粉蓝色
110,0,closer/close,Chinese,灰蓝色
111,0,equal/far,Chinese,灰色
112,0,equal/far,Chinese,黄色
113,0,closer/close,Chinese,灰黄色
114,0,closer/close,Chinese,亮绿色
115,0,further/split,Chinese,黄色
116,0,further/split,Chinese,灰色
117,1,closer/close,Chinese,深蓝色
118,0,closer/close,Chinese,黃色
119,0,equal/far,Chinese,灰色
120,0,equal/far,Chinese,灰色
121,0,further/split,Chinese,淡粉色
122,0,further/split,Chinese,深棕色
123,0,equal/far,Chinese,浅绿色
124,0,further/split,Chinese,深灰色
125,1,closer/close,Chinese,蓝绿色
126,0,closer/close,Chinese,紫色
127,0,equal/far,Chinese,亮绿色
