specificity,Condition,Language,Message
0,closer/close,English,The darker blue one
0,equal/far,English,purple
0,closer/close,English,Medium pink
0,equal/far,English,Mint green.
0,equal/far,English,Mud brown
0,further/split,English,Mud brown
0,further/split,English,Camo green
0,further/split,English,Darkish red
0,equal/far,English,Grey
0,equal/far,English,Purple
0,closer/close,English,"Darkest shade of green, forest green"
0,further/split,English,"One of the brown ones, the lighter shaded one"
0,further/split,English,The more vibrantly red one... not the more purple one
0,equal/far,English,blue
0,equal/far,English,Plain blue
0,equal/far,English,Yellowish brownish orangish yellow
0,further/split,English,Grey
0,further/split,English,Camo green
0,closer/close,English,Brown
0,closer/close,English,Neon pink
0,further/split,English,the greyish one that's not the browner one
0,further/split,English,Brown
0,further/split,English,forest green
0,closer/close,English,greyest one
0,closer/close,English,darker red
0,closer/close,English,red
0,closer/close,English,"purple, darker one"
0,further/split,English,orange
0,further/split,English,dark green
0,equal/far,English,grey
0,further/split,English,green
0,closer/close,English,"brown. not the yellow one or classic brown one, the weirder one"
1,closer/close,English,Hahaha. Me too. This one is purple. Not neon and not lavender
0,equal/far,English,Red
0,further/split,English,"Lime green, not forest green"
0,further/split,English,blue
0,closer/close,English,light brown
0,equal/far,English,brown
0,closer/close,English,blue
0,closer/close,English,lightest shade of teal/blue/green
0,equal/far,English,blue
0,equal/far,English,dark yucky green
0,equal/far,English,grey
0,equal/far,English,grey
0,equal/far,English,red
0,closer/close,English,dark green
0,closer/close,English,not camo and not brown
0,equal/far,English,YELLOW!!!!
0,further/split,English,"select the bright green, not the olive"
0,equal/far,English,green
0,equal/far,English,red
0,equal/far,English,grey
0,closer/close,English,brownish-cream; not grey or pinkish
0,equal/far,English,blue
0,closer/close,English,grey (you're doing great)
1,closer/close,English,teal (not the two that are more green)
0,further/split,English,brownish
0,closer/close,English,the bright green
0,equal/far,English,brownish
0,equal/far,English,reddish
0,closer/close,English,grey
0,further/split,English,dark blue
0,further/split,English,purple
0,further/split,English,dark pink; not bright pink
0,closer/close,English,brightest green
0,closer/close,English,brightest green
0,closer/close,English,"dark purple (good job on the last two, by the way)"
0,further/split,English,"dark orange (not the red, and not the lighter orange)"
1,further/split,English,purple; not pink or teal (good on the last one)
0,closer/close,English,darkest green
0,closer/close,English,brightest pink
0,closer/close,English,grey; not grey-brown or red
1,equal/far,English,olive (not teal or bright green)
0,further/split,English,bright blue (not one with hint of purple)
0,equal/far,English,grey
0,further/split,English,dull purple
1,further/split,English,teal
0,closer/close,English,olive
0,further/split,English,"green, but not neon green"
0,equal/far,English,orange
0,equal/far,English,grey
0,equal/far,English,green
0,closer/close,English,darkest green
0,equal/far,English,pink
0,closer/close,English,yellow
0,further/split,English,purple
0,equal/far,English,green
0,further/split,English,red
0,equal/far,English,purple
0,further/split,English,darker grey (not the lighter green-grey)
0,further/split,English,normal grey
0,equal/far,English,orange
0,equal/far,English,green (nice job!  I think we got one wrong.  nice working with you)
0,further/split,English,lime green
0,closer/close,English,gray
0,equal/far,English,gray
0,equal/far,English,gray
0,further/split,English,the very dull red
0,further/split,English,lighter or darker
0,closer/close,English,gray
0,equal/far,English,the purplish one
0,equal/far,English,purple
0,further/split,English,blue
0,closer/close,English,the slightly darker pink
0,further/split,English,blue
0,closer/close,English,lime green
0,equal/far,English,brigher blue
0,closer/close,English,the medium blue
0,further/split,English,the dark bluish gray
0,equal/far,English,pink
0,closer/close,English,light green
0,equal/far,English,bright purple
0,closer/close,English,the darker gray
1,equal/far,English,turquoise
0,equal/far,English,green
0,further/split,English,blue gray
0,closer/close,English,blue
0,closer/close,English,bright pink
0,closer/close,English,the less greenish gray
0,further/split,English,bright blue
0,equal/far,English,gray
0,further/split,English,the darker gray
0,equal/far,English,red
0,closer/close,English,sky blue
0,equal/far,English,green
0,further/split,English,"light blue, but the slightly duller one"
0,closer/close,English,the more brownish one
0,equal/far,English,blue
0,equal/far,English,gray
0,further/split,English,the more bluish purple
0,closer/close,English,the bluish gray
0,closer/close,English,the one that's not bright green and not mint green
0,closer/close,English,the most reddish purple
0,further/split,English,red
0,further/split,English,darker purple
0,further/split,English,blue
0,further/split,English,purple
0,equal/far,English,pink
0,further/split,English,bright blue
0,equal/far,English,dark blue
0,further/split,English,dark gray
0,further/split,English,purple
0,closer/close,English,blue
0,equal/far,English,green
0,equal/far,English,brown
0,closer/close,English,"olive green, darkest"
0,equal/far,English,blue
0,closer/close,English,"darkest shade, army colored"
1,further/split,English,brightest teal
0,further/split,English,brightest purple
1,further/split,English,gold
0,further/split,English,dark green
0,closer/close,English,purple on the right
0,further/split,English,darkest color
