success,Condition,Language,roundid
false,closer/close,English,0002-7.1
true,equal/far,English,0002-7.10
true,closer/close,English,0002-7.11
true,equal/far,English,0002-7.12
true,further/split,English,0002-7.13
true,closer/close,English,0002-7.14
true,equal/far,English,0002-7.15
true,further/split,English,0002-7.16
true,equal/far,English,0002-7.17
true,equal/far,English,0002-7.18
true,further/split,English,0002-7.19
true,further/split,English,0002-7.2
true,further/split,English,0002-7.20
true,equal/far,English,0002-7.21
true,further/split,English,0002-7.22
true,closer/close,English,0002-7.23
false,further/split,English,0002-7.24
true,closer/close,English,0002-7.25
true,further/split,English,0002-7.26
true,equal/far,English,0002-7.27
true,further/split,English,0002-7.28
true,equal/far,English,0002-7.29
true,closer/close,English,0002-7.3
true,further/split,English,0002-7.30
true,further/split,English,0002-7.31
true,further/split,English,0002-7.32
true,equal/far,English,0002-7.33
true,further/split,English,0002-7.34
true,closer/close,English,0002-7.35
false,closer/close,English,0002-7.36
true,equal/far,English,0002-7.37
true,closer/close,English,0002-7.38
true,equal/far,English,0002-7.39
false,closer/close,English,0002-7.4
true,further/split,English,0002-7.40
true,equal/far,English,0002-7.41
true,closer/close,English,0002-7.42
true,further/split,English,0002-7.43
true,equal/far,English,0002-7.44
true,equal/far,English,0002-7.45
false,closer/close,English,0002-7.46
true,further/split,English,0002-7.47
true,further/split,English,0002-7.48
true,equal/far,English,0002-7.49
true,closer/close,English,0002-7.5
true,closer/close,English,0002-7.50
true,closer/close,English,0002-7.6
true,equal/far,English,0002-7.7
true,closer/close,English,0002-7.8
true,closer/close,English,0002-7.9
true,closer/close,English,0022-7.1
true,further/split,English,0022-7.10
true,equal/far,English,0022-7.11
true,equal/far,English,0022-7.12
true,further/split,English,0022-7.13
true,closer/close,English,0022-7.14
true,further/split,English,0022-7.15
true,closer/close,English,0022-7.16
true,equal/far,English,0022-7.17
true,equal/far,English,0022-7.18
true,equal/far,English,0022-7.19
true,closer/close,English,0022-7.2
true,further/split,English,0022-7.20
true,closer/close,English,0022-7.21
true,equal/far,English,0022-7.22
true,further/split,English,0022-7.23
true,closer/close,English,0022-7.24
true,equal/far,English,0022-7.25
true,equal/far,English,0022-7.26
true,closer/close,English,0022-7.27
true,closer/close,English,0022-7.28
true,closer/close,English,0022-7.29
true,further/split,English,0022-7.3
true,closer/close,English,0022-7.30
true,further/split,English,0022-7.31
false,further/split,English,0022-7.32
true,equal/far,English,0022-7.33
true,further/split,English,0022-7.34
true,further/split,English,0022-7.35
true,further/split,English,0022-7.36
true,closer/close,English,0022-7.38
true,closer/close,English,0022-7.39
true,further/split,English,0022-7.4
true,equal/far,English,0022-7.40
true,further/split,English,0022-7.41
false,closer/close,English,0022-7.42
true,closer/close,English,0022-7.43
true,equal/far,English,0022-7.44
true,equal/far,English,0022-7.45
true,further/split,English,0022-7.46
true,closer/close,English,0022-7.47
true,further/split,English,0022-7.48
true,equal/far,English,0022-7.49
true,equal/far,English,0022-7.5
true,equal/far,English,0022-7.50
true,equal/far,English,0022-7.6
false,further/split,English,0022-7.7
true,further/split,English,0022-7.8
true,equal/far,English,0022-7.9
true,further/split,English,0069-8.1
true,closer/close,English,0069-8.10
true,further/split,English,0069-8.11
true,further/split,English,0069-8.12
true,closer/close,English,0069-8.13
true,further/split,English,0069-8.14
true,closer/close,English,0069-8.15
true,further/split,English,0069-8.16
true,closer/close,English,0069-8.17
true,closer/close,English,0069-8.18
true,closer/close,English,0069-8.19
true,further/split,English,0069-8.2
true,further/split,English,0069-8.20
true,equal/far,English,0069-8.21
true,closer/close,English,0069-8.22
true,further/split,English,0069-8.23
true,equal/far,English,0069-8.24
true,closer/close,English,0069-8.25
true,further/split,English,0069-8.26
true,equal/far,English,0069-8.27
true,equal/far,English,0069-8.28
false,further/split,English,0069-8.29
true,equal/far,English,0069-8.3
true,equal/far,English,0069-8.30
true,closer/close,English,0069-8.31
true,equal/far,English,0069-8.32
true,equal/far,English,0069-8.33
true,equal/far,English,0069-8.34
true,closer/close,English,0069-8.35
false,further/split,English,0069-8.36
true,equal/far,English,0069-8.37
true,further/split,English,0069-8.38
true,equal/far,English,0069-8.39
true,equal/far,English,0069-8.4
true,closer/close,English,0069-8.40
