success,Condition,Language,roundid
false,closer/close,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.1
false,equal/far,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.10
false,equal/far,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.11
true,equal/far,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.12
true,further/split,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.13
true,further/split,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.14
false,closer/close,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.15
true,closer/close,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.16
true,further/split,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.17
true,equal/far,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.18
false,closer/close,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.2
true,further/split,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.3
true,equal/far,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.4
true,closer/close,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.5
false,closer/close,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.6
true,further/split,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.7
true,equal/far,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.8
true,equal/far,Chinese,0128-c3a68cdf-e7e1-4554-a350-17a66cc9dd4f.9
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.1
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.10
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.11
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.12
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.13
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.14
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.15
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.16
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.17
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.18
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.19
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.2
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.20
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.21
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.22
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.23
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.24
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.25
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.26
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.27
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.28
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.29
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.3
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.30
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.31
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.32
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.33
