tokens,Condition,Language,Message
4,closer/close,English,The darker blue one
1,equal/far,English,purple
2,closer/close,English,Medium pink
4,closer/close,English,the medium dark one
1,further/split,English,lime
2,equal/far,English,Mint green
2,equal/far,English,Mud brown
2,further/split,English,Mud brown
2,further/split,English,Camo green
2,further/split,English,Darkish red
1,equal/far,English,Grey
1,equal/far,English,Purple
6,closer/close,English,Darkest shade of green forest green
9,further/split,English,One of the brown ones the lighter shaded one
10,further/split,English,The more vibrantly red one not the more purple one
1,equal/far,English,blue
2,equal/far,English,Plain blue
4,equal/far,English,Yellowish brownish orangish yellow
1,equal/far,English,lol
5,further/split,English,that was quite the description
4,further/split,English,Like that description Haha
2,further/split,English,Thank you
1,further/split,English,Grey
2,further/split,English,Camo green
1,closer/close,English,Brown
2,closer/close,English,Neon pink
9,further/split,English,oopsies I think they're both a bit neon
9,further/split,English,the greyish one that's not the browner one
1,further/split,English,Brown
2,further/split,English,forest green
2,closer/close,English,greyest one
2,closer/close,English,darker red
1,closer/close,English,red
3,closer/close,English,purple darker one
1,further/split,English,orange
2,further/split,English,dark green
1,equal/far,English,grey
1,further/split,English,green
12,closer/close,English,brown not the yellow one or classic brown one the weirder one
5,closer/close,English,I like the weirder one
12,closer/close,English,Hahaha Me too This one is purple Not neon and not lavender
1,equal/far,English,Red
5,further/split,English,Lime green not forest green
1,further/split,English,blue
2,closer/close,English,light brown
1,equal/far,English,brown
1,closer/close,English,blue
4,closer/close,English,lightest shade of teal/blue/green
1,equal/far,English,blue
3,equal/far,English,dark yucky green
1,equal/far,English,grey
1,equal/far,English,grey
1,equal/far,English,red
2,closer/close,English,dark green
5,closer/close,English,not camo and not brown
1,equal/far,English,YELLOW
7,further/split,English,select the bright green not the olive
1,equal/far,English,green
1,equal/far,English,red
1,equal/far,English,grey
6,closer/close,English,brownishcream; not grey or pinkish
1,equal/far,English,blue
5,closer/close,English,grey you're doing great
3,closer/close,English,thanks good descriptions
8,closer/close,English,teal not the two that are more green
1,further/split,English,brownish
3,closer/close,English,the bright green
1,equal/far,English,brownish
1,equal/far,English,reddish
1,closer/close,English,grey
2,further/split,English,dark blue
1,further/split,English,purple
6,further/split,English,dark pink; not bright pink
2,closer/close,English,brightest green
2,closer/close,English,brightest green
11,closer/close,English,dark purple good job on the last two by the way
1,further/split,English,thanks
10,further/split,English,dark orange not the red and not the lighter orange
11,further/split,English,purple; not pink or teal good on the last one
2,closer/close,English,darkest green
2,closer/close,English,brightest pink
6,closer/close,English,grey; not greybrown or red
1,closer/close,English,greygreen
1,further/split,English,greypurple
6,equal/far,English,olive not teal or bright green
8,further/split,English,bright blue not one with hint of purple
1,equal/far,English,grey
2,further/split,English,dull purple
1,further/split,English,teal
1,closer/close,English,olive
5,further/split,English,green but not neon green
6,further/split,English,greyteal good on the last one
1,equal/far,English,orange
4,equal/far,English,your descriptions are great
1,equal/far,English,grey
1,closer/close,English,greyblue
1,equal/far,English,green
2,closer/close,English,darkest green
1,equal/far,English,pink
1,closer/close,English,yellow
1,further/split,English,purple
1,equal/far,English,green
1,further/split,English,red
1,equal/far,English,purple
6,further/split,English,darker grey not the lighter greengrey
2,further/split,English,normal grey
1,equal/far,English,orange
13,equal/far,English,green nice job  I think we got one wrong  nice working with you
2,further/split,English,lime green
1,closer/close,English,gray
1,equal/far,English,gray
1,equal/far,English,gray
4,further/split,English,the very dull red
3,further/split,English,lighter or darker
1,further/split,English,lighter
1,closer/close,English,gray
3,equal/far,English,the purplish one
1,equal/far,English,purple
1,further/split,English,blue
4,closer/close,English,the slightly darker pink
1,further/split,English,blue
2,closer/close,English,lime green
2,equal/far,English,brigher blue
3,closer/close,English,the medium blue
4,further/split,English,the dark bluish gray
1,equal/far,English,pink
3,closer/close,English,the orangeish one
2,closer/close,English,light green
2,equal/far,English,bright purple
3,closer/close,English,the darker gray
1,equal/far,English,turquoise
1,equal/far,English,green
2,further/split,English,blue gray
1,closer/close,English,blue
2,closer/close,English,bright pink
4,closer/close,English,the less greenish gray
2,further/split,English,bright blue
1,equal/far,English,gray
3,further/split,English,the darker gray
1,equal/far,English,red
2,closer/close,English,sky blue
1,equal/far,English,green
7,further/split,English,light blue but the slightly duller one
4,closer/close,English,the more brownish one
1,equal/far,English,blue
1,equal/far,English,gray
4,further/split,English,the more bluish purple
3,closer/close,English,the bluish gray
11,closer/close,English,the one that's not bright green and not mint green
4,closer/close,English,the most reddish purple
1,further/split,English,red
2,further/split,English,darker purple
1,further/split,English,blue
1,further/split,English,purple
1,equal/far,English,pink
2,further/split,English,bright blue
2,equal/far,English,dark blue
2,further/split,English,dark gray
1,further/split,English,purple
1,closer/close,English,blue
1,equal/far,English,green
1,equal/far,English,brown
3,closer/close,English,olive green darkest
1,equal/far,English,blue
4,closer/close,English,darkest shade army colored
2,further/split,English,brightest teal
2,further/split,English,brightest purple
1,further/split,English,gold
1,equal/far,English,teal/blue
2,further/split,English,middle brightness
2,further/split,English,dark green
4,closer/close,English,purple on the right
2,further/split,English,darkest color
2,further/split,English,darker orange
2,further/split,English,dark green
2,closer/close,English,middle green
2,equal/far,English,darkest color
1,equal/far,English,blue
1,equal/far,English,orange
1,equal/far,English,blue
1,closer/close,English,blue
1,equal/far,English,purple
2,further/split,English,bright purple
1,equal/far,English,reddish
2,closer/close,English,bluest purple
1,equal/far,English,green
2,further/split,English,bluest green
5,closer/close,English,just pick a random one
2,equal/far,English,bright green
2,closer/close,English,darker olive
2,further/split,English,bright teal
1,further/split,English,magenta
2,closer/close,English,darkest green
1,equal/far,English,brown
1,equal/far,English,grey
2,closer/close,English,light blue
2,closer/close,English,neon green
1,closer/close,English,brown
1,further/split,English,blue
1,equal/far,English,red
1,further/split,English,greenest
2,further/split,English,dark puprle
7,further/split,English,your dumb this one is dark blue
2,closer/close,English,middle green
1,further/split,English,brown
1,equal/far,English,blue
1,closer/close,English,magenta
2,closer/close,English,dark grey
7,equal/far,English,DARK YOU IDIOT This one is orange
2,closer/close,English,dark purple
1,equal/far,English,green
1,further/split,English,purple
2,further/split,English,lime green
1,closer/close,English,purplish
1,equal/far,English,teal
1,equal/far,English,purple
2,closer/close,English,darker blue
1,further/split,English,green
1,equal/far,English,brown
1,equal/far,English,tealish
1,closer/close,English,grey
2,closer/close,English,darker green
2,equal/far,English,tan orange
1,equal/far,English,green
2,equal/far,English,ugly tan
2,further/split,English,other one
1,further/split,English,green
2,further/split,English,lesser purple
1,equal/far,English,pink
1,further/split,English,red
1,equal/far,English,yellow
2,further/split,English,dark purple
1,further/split,English,orange
2,closer/close,English,darker purple
2,closer/close,English,bluish grey
2,closer/close,English,dark purple
1,further/split,English,grey
1,further/split,English,purple
1,further/split,English,green
1,closer/close,English,grey
2,closer/close,English,medium green
2,further/split,English,blue grey
2,equal/far,English,purple grey
2,closer/close,English,darkest green
1,closer/close,English,teal
1,equal/far,English,orange
1,equal/far,English,orange
1,equal/far,English,grey
1,further/split,English,pink
2,closer/close,English,meduim green
1,closer/close,English,teal
2,further/split,English,brownish yellow
1,further/split,English,blue
2,closer/close,English,bright blue
2,closer/close,English,pink puirple
2,closer/close,English,darkest blue
1,closer/close,English,blue
1,equal/far,English,green
2,further/split,English,darkest blue
1,equal/far,English,purple
1,equal/far,English,blue
2,equal/far,English,you rock
1,further/split,English,hi
2,further/split,English,Gray Box
2,equal/far,English,Gray Box
2,further/split,English,Gray Box
12,further/split,English,you can just put the color if you'd like less typing
2,further/split,English,Navy Blue
1,further/split,English,oops
1,further/split,English,Blue
1,equal/far,English,Greenish
5,closer/close,English,do we have a score
2,closer/close,English,Brightest Color
2,closer/close,English,Lighter Blue
1,equal/far,English,Green
2,closer/close,English,Most Gray
2,further/split,English,Darker Green
3,further/split,English,gj so far
2,further/split,English,Brighter Green
9,closer/close,English,Some of these are actually hard to describe hehe
1,closer/close,English,Yellow
4,closer/close,English,lol i bet right
1,closer/close,English,Purple
1,closer/close,English,Purple
2,closer/close,English,Darker Blue
7,closer/close,English,mani can't catch any hits today
3,closer/close,English,nothing good anyway
3,closer/close,English,Brighter Grayish Green
1,equal/far,English,Pink
2,closer/close,English,Second Brightest
1,closer/close,English,gj
1,equal/far,English,Red
1,equal/far,English,Grayish
1,closer/close,English,Pink
5,closer/close,English,this is a good hit
1,equal/far,English,Green
6,equal/far,English,Yeah really enjoying it so far
1,further/split,English,Orange
10,closer/close,English,i've done one like this before but with animals
2,closer/close,English,Darker Purple
1,closer/close,English,woops
1,equal/far,English,Orange
9,closer/close,English,can u see when i pick the wrong one
2,closer/close,English,Darker Brown
7,further/split,English,Yeah I can see  No worries though 
2,further/split,English,ok lol 
3,further/split,English,Darker Grayish Blue
2,closer/close,English,Darker Purple
1,closer/close,English,shoot
5,closer/close,English,wonder what this is testing
2,closer/close,English,Green'ish Gray
1,equal/far,English,Blue
3,equal/far,English,No idea hehe
1,equal/far,English,blue
6,equal/far,English,i see gren grey and purple
3,equal/far,English,Purple ish maybe
1,equal/far,English,k
2,further/split,English,Brightest Purple
11,further/split,English,one of the quals on here should be 'not colorblind'
2,equal/far,English,No kidding
1,equal/far,English,Blue
1,further/split,English,Gray
1,closer/close,English,brown
1,equal/far,English,Green
2,further/split,English,Grayish Purple
1,further/split,English,Doh
1,further/split,English,Green
1,further/split,English,oopsy
2,further/split,English,lighter green
1,equal/far,English,Brown
3,equal/far,English,gj so far
1,equal/far,English,Green
7,equal/far,English,This is harder than I expected lol
1,equal/far,English,Blue
1,equal/far,English,haha
1,further/split,English,Green
10,further/split,English,maybe we'll get a bonus if we do good
1,further/split,English,Yellow
2,further/split,English,Greenish gray
2,equal/far,English,Regular Blue
4,equal/far,English,Hopefully we get something
2,closer/close,English,Purple Gray
1,closer/close,English,yeah 
4,equal/far,English,Not Green or Blue
1,closer/close,English,oops
2,closer/close,English,sorry man
2,closer/close,English,Regular Blue
2,closer/close,English,No worries
1,equal/far,English,Blue
1,equal/far,English,green
1,closer/close,English,brown
1,further/split,English,purple
1,equal/far,English,blue
1,further/split,English,green
2,closer/close,English,normal blue
2,closer/close,English,grayish purple
2,further/split,English,bluish green
1,further/split,English,tan
1,equal/far,English,blue
1,closer/close,English,purple
1,equal/far,English,gray
1,equal/far,English,green
1,further/split,English,gray
1,equal/far,English,purple
1,equal/far,English,blue
1,further/split,English,blue
1,equal/far,English,purple
1,closer/close,English,purple
2,closer/close,English,forest green
1,further/split,English,purple
1,equal/far,English,brown
2,closer/close,English,lighter purple
1,further/split,English,blue
2,further/split,English,darker green
1,closer/close,English,purple
1,further/split,English,copper
1,further/split,English,blue
1,equal/far,English,green
1,further/split,English,gray
2,further/split,English,brighter red
2,closer/close,English,brighter green
1,equal/far,English,pink
1,further/split,English,gray
1,equal/far,English,blue
2,further/split,English,darker green
2,closer/close,English,darker blue
2,closer/close,English,pastel green
1,equal/far,English,gray
2,equal/far,English,greenish gray
2,closer/close,English,darker green
2,closer/close,English,grayish green
1,closer/close,English,green
3,closer/close,English,more normal green
1,further/split,English,blue
1,equal/far,English,red
1,equal/far,English,green
2,closer/close,English,forest green
1,closer/close,English,copper
2,further/split,English,reddish gray
1,closer/close,English,hello
