tokens,Condition,Language,Message
2,further/split,Chinese,接近地
2,further/split,Chinese,的颜色
1,further/split,Chinese,灰色
3,equal/far,Chinese,树的颜色
1,closer/close,Chinese,冷色
3,further/split,Chinese,草的颜色
1,equal/far,Chinese,肉桂
3,further/split,Chinese,深色的血液
1,closer/close,Chinese,深海
3,further/split,Chinese,女士 高雅
1,equal/far,Chinese,龙
1,further/split,Chinese,土地
1,closer/close,Chinese,最深
1,further/split,Chinese,艳丽
3,further/split,Chinese,两种稍微深些
1,further/split,Chinese,暗些
1,equal/far,Chinese,土地
2,closer/close,Chinese,不同的
1,closer/close,Chinese,明亮
1,equal/far,Chinese,暗
3,closer/close,Chinese,两同色中暗些
1,closer/close,Chinese,深
1,equal/far,Chinese,暗些
1,equal/far,Chinese,大海
2,further/split,Chinese,中老年女
1,further/split,Chinese,土地
1,further/split,Chinese,明亮
1,closer/close,Chinese,暗色
1,equal/far,Chinese,基佬
1,further/split,Chinese,暗
1,closer/close,Chinese,暗
1,equal/far,Chinese,女士
4,further/split,Chinese,两色中明亮一些
1,equal/far,Chinese,大海
1,equal/far,Chinese,基佬
1,equal/far,Chinese,明亮
3,closer/close,Chinese,土地 深些
1,further/split,Chinese,中暗
1,closer/close,Chinese,暗色
1,equal/far,Chinese,女士
3,further/split,Chinese,两同色中暗些
2,further/split,Chinese,明亮树
3,closer/close,Chinese,树 暗些
1,closer/close,Chinese,土地
3,closer/close,Chinese,女士 明亮
4,further/split,Chinese,树 明亮些
1,equal/far,Chinese,天空
1,equal/far,Chinese,血液
1,closer/close,Chinese,大海
1,equal/far,Chinese,暗些
1,closer/close,Chinese,土地
1,equal/far,Chinese,橙子
1,closer/close,Chinese,最深
4,equal/far,Chinese,不是树不是天空
1,equal/far,Chinese,浅海
1,further/split,Chinese,天空
1,further/split,Chinese,大海
3,closer/close,Chinese,最深的色
2,equal/far,Chinese,请描述
5,equal/far,Chinese,仍然没看到任何描述
8,closer/close,Chinese,演说者了解他/她的任务吗
1,equal/far,Chinese,红色
1,further/split,Chinese,绿色
1,equal/far,Chinese,黄色
3,closer/close,Chinese,红绿灯的绿色
3,further/split,Chinese,红绿灯的绿色
1,equal/far,Chinese,红
8,further/split,Chinese,不是蓝色也不是粉红色的那个颜色
2,further/split,Chinese,猪肝色吗
3,further/split,Chinese,哈哈是的
5,closer/close,Chinese,最接近黄色的那个
1,closer/close,Chinese,墨绿色
1,equal/far,Chinese,蓝色
1,further/split,Chinese,橙色
5,further/split,Chinese,不是紫色也不是灰色
