index,gameid,epochTime,roundNum,sender,contents
0,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009770723,1,倾听者,hi
1,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009780640,1,演说者,接近地
2,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009792580,1,演说者,的颜色
3,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009803540,1,倾听者,灰色？
4,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009828080,2,倾听者,？
5,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009849356,3,倾听者,？
6,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009871308,4,演说者,树的颜色
7,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009889576,5,演说者,冷色
8,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009910004,6,演说者,草的颜色
9,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009933371,7,演说者,肉桂
10,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009949791,8,倾听者,？
11,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009974025,9,倾听者,？
12,7645-31884455-9ae0-4726-a830-00d8014ac468,1501009991587,10,倾听者,？
13,7645-31884455-9ae0-4726-a830-00d8014ac468,1501010015824,11,倾听者,？
14,1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032293921,0,演说者,Black
15,1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032306600,0,演说者,White
16,1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032315179,0,演说者,Ok good color
17,1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032324477,0,演说者,Reji
18,4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033341734,0,演说者,红
19,4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033359914,0,演说者,红
20,4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033392693,0,演说者,紅
21,4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033482990,0,演说者,RED
22,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096118786,1,倾听者,？
23,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096130075,1,演说者,深色的血液
24,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096152265,2,演说者,深海
25,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096181129,3,演说者,女士 高雅
26,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096198124,4,演说者,龙
27,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096214088,5,演说者,土地
28,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096236253,6,演说者,最深
29,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096256219,7,演说者,艳丽
30,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096287360,8,演说者,两种稍微深些
31,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096310697,9,演说者,暗些
32,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096322412,10,演说者,土地
33,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096334308,11,演说者,不同的
34,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096346697,12,演说者,明亮
35,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096357396,13,演说者,暗
36,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096380810,14,演说者,两同色中暗些
37,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096403315,15,演说者,深
38,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096414415,16,演说者,暗些
39,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096427801,17,演说者,大海
40,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096444332,18,演说者,中老年女
41,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096453579,19,演说者,土地
42,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096471016,20,演说者,明亮
43,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096480840,21,演说者,暗色
44,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096489361,22,演说者,基佬
45,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096499938,23,演说者,暗
46,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096515080,24,演说者,暗
47,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096523282,25,演说者,女士
48,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096538969,26,演说者,两色中明亮一些
49,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096546544,27,演说者,大海
50,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096554952,28,演说者,基佬
51,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096564168,29,演说者,明亮
52,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096575280,30,演说者,土地 深些
53,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096589748,31,演说者,中暗
54,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096610992,32,演说者,暗色
55,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096622144,33,演说者,女士
56,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096635828,34,演说者,两同色中暗些
57,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096647549,35,演说者,明亮树
58,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096661094,36,演说者,树 暗些
59,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096673303,37,演说者,土地
60,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096688974,38,演说者,女士 明亮
61,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096700535,39,演说者,树 明亮些
62,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096711798,40,演说者,天空
63,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096722040,41,演说者,血液
64,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096729407,42,演说者,大海
65,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096740133,43,演说者,暗些
66,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096748749,44,演说者,土地
67,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096760408,45,演说者,橙子
68,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096771366,46,演说者,最深
69,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096793464,47,演说者,不是树，不是天空
70,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096811263,48,演说者,浅海
71,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096821275,49,演说者,天空
72,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096826405,49,演说者,大海
73,3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096837758,50,演说者,最深的色
74,1335-1ca93459-779e-4930-a18c-6077a00ed72b,1501097221281,0,演说者,? 我要继续等待吗？
76,6404-4779d0b9-40ee-401a-9139-9a2c88b7cc59,1501097922031,0,演说者,fgwes
77,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120557689,1,倾听者,请描述。。。
78,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120702265,2,倾听者,仍然没看到任何描述。。。
79,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120798176,3,倾听者,演说者了解他/她的任务吗？
80,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120847123,4,演说者,红色
81,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120861381,5,演说者,绿色
82,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120870885,6,演说者,黄色
83,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120899051,7,演说者,红绿灯的绿色
84,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120916206,8,演说者,红绿灯的绿色
85,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120931256,9,演说者,红
86,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120955903,10,演说者,不是蓝色也不是粉红色的那个颜色
87,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120992501,10,倾听者,猪肝色吗？
88,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120998078,10,演说者,哈哈是的
89,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121026991,11,演说者,最接近黄色的那个
90,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121053821,12,演说者,墨绿色
91,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121071467,13,演说者,蓝色
92,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121084486,14,演说者,橙色
93,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121118483,15,演说者,不是紫色也不是灰色
94,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121141377,16,演说者,最亮的红色
95,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121167085,16,倾听者,粉红色吗？
96,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121175953,16,演说者,是的
97,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121184514,17,演说者,灰色
98,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121196210,18,演说者,墨绿
99,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121248418,18,倾听者,带青色或带蓝色？
100,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121283031,18,演说者,青色
101,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121303564,19,演说者,深蓝色
102,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121318363,20,演说者,土黄色
103,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121329987,21,演说者,猪肝色
104,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121359726,22,演说者,程度居中的绿色
105,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121384867,23,演说者,墨绿色
106,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121402063,24,演说者,土黄色
107,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121450742,24,倾听者,黄色较浓吗？
108,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121469839,24,演说者,较淡
109,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121477935,25,演说者,灰色
110,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121491004,26,演说者,蓝灰色
111,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121523803,27,演说者,墨绿色
112,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121542293,28,演说者,紫色
113,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121572819,28,倾听者,带红色或带蓝色？
114,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121580526,28,演说者,带蓝色
115,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121598038,29,演说者,和上一题一样的颜色
116,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121617138,30,演说者,大红
117,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121625310,31,演说者,灰色
118,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121640190,32,演说者,不是红色也不是蓝色
119,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121657340,33,演说者,墨绿色
120,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121666273,34,演说者,灰色
121,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121675334,35,演说者,猪肝
122,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121692660,36,演说者,浅绿色
123,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121727884,37,演说者,蓝绿色
124,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121762850,37,倾听者,蓝较多吗？
125,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121813793,37,演说者,较少
126,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121826868,38,演说者,紫色
127,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121837196,39,演说者,蓝色
128,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121844353,40,演说者,黄色
129,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121852890,41,演说者,绿色
130,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121872985,42,演说者,黄色最少
131,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121888369,43,演说者,蓝色
132,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121896206,44,演说者,红色
133,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121906175,45,演说者,红色
134,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121915371,46,演说者,红色
135,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121924477,47,演说者,黄
136,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121937367,48,演说者,浅绿色
137,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121953020,49,演说者,蓝色
138,1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121962069,50,演说者,粉红
139,6206-00ac330b-8ff2-4472-a9c7-92d36d526eb8,1501179919699,1,演说者,你好
140,6206-00ac330b-8ff2-4472-a9c7-92d36d526eb8,1501179933145,1,演说者,？
141,0549-d56b0b64-54e8-4a64-8aa4-7700643a9b9e,1501182421617,0,演说者,022645
142,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186223122,1,演说者,深一点的蓝色
143,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186276860,2,演说者,紫色
144,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186327126,3,演说者,灰绿色
145,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186357114,4,演说者,灰色
146,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186375281,5,演说者,绿色
147,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186434134,6,演说者,灰黄色
148,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186466035,7,演说者,紫色
149,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186566780,8,演说者,暗粉色
150,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186616502,9,演说者,亮
151,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186712858,9,演说者,红色
152,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186761586,10,演说者,金黄色
153,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186802774,11,演说者,暗粉色
154,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186860864,11,倾听者,暗粉红色吗
155,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186889093,11,演说者,是
156,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186914279,12,演说者,黄色
157,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186938127,13,演说者,紫色
158,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186955368,14,演说者,绿色
159,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186976941,15,演说者,天蓝色
160,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187019259,16,演说者,浅绿色
161,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187113645,17,演说者,蓝紫色
162,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187147738,18,演说者,绿色
163,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187161470,19,演说者,绿色
164,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187205333,20,演说者,黄灰色
165,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187223331,21,演说者,紫色
166,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187241143,22,演说者,灰色
167,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187254061,23,演说者,灰色
168,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187278007,24,演说者,土黄色
169,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187320857,24,倾听者,重点是土吗？
170,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187346763,24,演说者,泥黄色
171,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187374036,25,演说者,最亮的绿色
172,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187397630,26,演说者,红色
173,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187428328,27,演说者,紫色
174,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187451468,28,演说者,绿色
175,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187497882,29,演说者,土黃色
176,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187514463,30,演说者,绿色
177,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187542151,31,演说者,天蓝色
178,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187556427,32,演说者,紫色
179,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187593557,33,演说者,金秋色
180,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187638504,33,倾听者,秋天落叶吗？
181,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187667325,34,演说者,紫色
182,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187692225,35,演说者,亮粉色
183,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187765511,36,演说者,蓝色
184,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187786277,37,演说者,绿色
185,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187837870,38,演说者,粉蓝色
186,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187908637,39,演说者,灰蓝色
187,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187947025,40,演说者,黄绿色
188,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187964887,41,演说者,灰色
189,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501187983879,42,演说者,黄色
190,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501188032777,43,演说者,灰黄色
191,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501188086801,44,演说者,亮绿色
192,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501188110727,45,演说者,黄色
193,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501188127928,46,演说者,灰色
194,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501188150912,47,演说者,深蓝色
195,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501188168623,48,演说者,黃色
196,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501188182555,49,演说者,灰色
197,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501188196281,50,演说者,灰色
198,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264544611,1,倾听者,你好
199,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264548986,1,倾听者,！
200,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264559041,1,演说者,你好！
201,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264582025,1,倾听者,要选哪一个？
202,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264597172,1,演说者,淡粉色
203,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264616708,2,倾听者,:D
204,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264617534,2,演说者,深棕色
205,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264630263,3,演说者,浅绿色
206,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264641099,4,演说者,深灰色
207,7266-a19a5680-212b-4740-b7c3-897388466b48,1501264664054,5,演说者,蓝绿色
