gameid,msgTime,roundNum,sender,contents,clkTime,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009770723,1,倾听者,hi,1501009812974,split,distr1,33,4,50,2,2,distr2,279,46,50,3,3,target,21,33,50,1,1,17,39,33,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009780640,1,演说者,接近地,1501009812974,split,distr1,33,4,50,2,2,distr2,279,46,50,3,3,target,21,33,50,1,1,17,39,33,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009792580,1,演说者,的颜色,1501009812974,split,distr1,33,4,50,2,2,distr2,279,46,50,3,3,target,21,33,50,1,1,17,39,33,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009803540,1,倾听者,灰色？,1501009812974,split,distr1,33,4,50,2,2,distr2,279,46,50,3,3,target,21,33,50,1,1,17,39,33,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009828080,2,倾听者,？,1501009840364,far,target,243,92,50,1,1,distr2,143,92,50,3,3,distr1,12,88,50,2,2,54,78,79,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009849356,3,倾听者,？,1501009856123,split,distr2,63,94,50,3,1,distr1,320,45,50,1,2,target,292,37,50,2,3,8,84,82,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009871308,4,演说者,树的颜色,1501009874228,far,target,59,19,50,3,2,distr1,329,27,50,2,3,distr2,29,60,50,1,1,42,23,37,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009889576,5,演说者,冷色,1501009896667,close,distr2,219,13,50,2,2,distr1,219,40,50,1,3,target,268,10,50,3,1,19,11,11,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009910004,6,演说者,草的颜色,1501009922685,split,distr1,106,17,50,3,3,distr2,283,30,50,2,1,target,153,58,50,1,2,18,52,55,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009933371,7,演说者,肉桂,1501009937181,far,target,340,13,50,2,2,distr2,44,82,50,3,3,distr1,294,65,50,1,1,25,43,72,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009949791,8,倾听者,？,1501009963176,far,target,175,11,50,1,2,distr2,341,33,50,3,1,distr1,226,38,50,2,3,27,30,29,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009974025,9,倾听者,？,1501009979871,far,target,310,0,50,3,2,distr2,269,82,50,1,1,distr1,24,89,50,2,3,30,35,57,true
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009991587,10,倾听者,？,1501010000418,close,distr1,34,42,50,3,1,distr2,26,38,50,2,3,target,29,79,50,1,2,12,12,7,false
7645-31884455-9ae0-4726-a830-00d8014ac468,1501010015824,11,倾听者,？,1501010020871,close,distr1,126,57,50,1,3,distr2,145,74,50,3,1,target,158,66,50,2,2,12,8,7,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096118786,1,倾听者,？,1501096132267,split,distr2,2,99,50,2,2,distr1,295,40,50,1,1,target,340,32,50,3,3,16,27,39,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096130075,1,演说者,深色的血液,1501096132267,split,distr2,2,99,50,2,2,distr1,295,40,50,1,1,target,340,32,50,3,3,16,27,39,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096152265,2,演说者,深海,1501096157783,close,target,219,81,50,3,1,distr2,216,53,50,1,2,distr1,213,93,50,2,3,7,7,5,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096181129,3,演说者,女士 高雅,1501096185770,split,distr1,306,46,50,3,3,distr2,140,13,50,2,1,target,279,94,50,1,2,14,43,37,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096198124,4,演说者,龙,1501096202365,far,target,59,99,50,3,2,distr1,31,51,50,1,3,distr2,226,27,50,2,1,37,67,43,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096214088,5,演说者,土地,1501096219071,split,distr1,39,40,50,1,3,distr2,1,27,50,3,2,target,46,83,50,2,1,16,43,28,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096236253,6,演说者,最深,1501096242707,close,target,138,5,50,3,3,distr1,147,19,50,1,1,distr2,188,35,50,2,2,13,17,17,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096256219,7,演说者,艳丽,1501096260539,split,distr1,290,72,50,3,1,target,323,53,50,2,3,distr2,109,42,50,1,2,14,80,91,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096287360,8,演说者,两种稍微深些,1501096295733,split,distr1,182,34,50,2,3,distr2,292,79,50,3,1,target,165,36,50,1,2,9,45,38,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096310697,9,演说者,暗些,1501096315552,split,target,330,39,50,1,3,distr2,172,63,50,2,1,distr1,315,96,50,3,2,15,62,57,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096322412,10,演说者,土地,1501096324084,far,target,58,56,50,3,3,distr1,130,75,50,1,2,distr2,0,74,50,2,1,23,55,82,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096334308,11,演说者,不同的,1501096339140,close,target,192,13,50,3,1,distr1,352,3,50,1,2,distr2,158,1,50,2,3,16,9,6,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096346697,12,演说者,明亮,1501096348196,close,target,100,79,50,1,3,distr1,77,56,50,3,1,distr2,100,47,50,2,2,11,11,9,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096357396,13,演说者,暗,1501096359078,far,target,300,6,50,3,3,distr2,103,66,50,2,2,distr1,192,34,50,1,1,33,52,42,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096380810,14,演说者,两同色中暗些,1501096389933,close,target,49,10,50,1,2,distr1,199,0,50,2,3,distr2,71,13,50,3,1,10,7,15,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096403315,15,演说者,深,1501096405707,close,distr1,331,2,50,3,1,distr2,52,5,50,2,2,target,48,17,50,1,3,17,9,8,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096414415,16,演说者,暗些,1501096418837,far,target,104,17,50,1,3,distr1,61,67,50,2,1,distr2,255,67,50,3,2,28,52,91,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096427801,17,演说者,大海,1501096429433,far,target,229,80,50,2,2,distr1,311,97,50,3,1,distr2,64,53,50,1,3,32,85,81,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096444332,18,演说者,中老年女,1501096447135,split,distr1,313,67,50,1,3,distr2,177,22,50,2,1,target,324,16,50,3,2,18,39,34,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096453579,19,演说者,土地,1501096455436,split,target,38,24,50,2,2,distr2,119,75,50,1,3,distr1,128,8,50,3,1,19,36,31,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096471016,20,演说者,明亮,1501096472834,split,distr1,165,60,50,1,2,distr2,65,8,50,2,3,target,172,49,50,3,1,7,24,26,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096480840,21,演说者,暗色,1501096482400,close,target,100,32,50,1,2,distr2,95,76,50,2,3,distr1,138,81,50,3,1,17,16,8,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096489361,22,演说者,基佬,1501096491798,far,target,277,85,50,2,3,distr1,357,47,50,3,2,distr2,145,34,50,1,1,34,53,62,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096499938,23,演说者,暗,1501096504066,split,distr2,107,7,50,2,2,distr1,357,40,50,3,3,target,339,14,50,1,1,15,32,38,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096515080,24,演说者,暗,1501096516540,close,target,90,23,50,1,2,distr1,104,39,50,3,3,distr2,93,62,50,2,1,9,17,9,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096523282,25,演说者,女士,1501096524705,far,target,337,61,50,3,3,distr2,27,12,50,1,2,distr1,246,60,50,2,1,32,29,42,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096538969,26,演说者,两色中明亮一些,1501096540664,split,target,39,64,50,1,2,distr2,131,13,50,2,3,distr1,37,38,50,3,1,9,30,24,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096546544,27,演说者,大海,1501096548199,far,target,209,68,50,2,1,distr1,259,19,50,1,3,distr2,60,82,50,3,2,23,73,67,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096554952,28,演说者,基佬,1501096556515,far,target,297,98,50,2,1,distr2,127,17,50,3,2,distr1,3,3,50,1,3,32,71,26,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096564168,29,演说者,明亮,1501096565652,far,target,100,77,50,2,3,distr1,286,77,50,3,1,distr2,133,16,50,1,2,104,27,45,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096575280,30,演说者,土地 深些,1501096577521,close,distr2,22,14,50,2,3,distr1,45,34,50,1,1,target,36,44,50,3,2,8,17,19,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096589748,31,演说者,中暗,1501096598323,split,target,95,4,50,3,1,distr2,217,46,50,1,3,distr1,164,1,50,2,2,6,30,23,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096610992,32,演说者,暗色,1501096612707,close,target,333,29,50,1,2,distr1,306,73,50,3,3,distr2,271,41,50,2,1,18,19,17,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096622144,33,演说者,女士,1501096623696,far,target,342,35,50,2,2,distr1,92,6,50,1,1,distr2,263,40,50,3,3,36,24,37,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096635828,34,演说者,两同色中暗些,1501096637873,split,target,124,34,50,2,1,distr1,146,59,50,3,2,distr2,272,55,50,1,3,10,57,61,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096647549,35,演说者,明亮树,1501096649526,split,distr1,141,82,50,1,1,distr2,351,21,50,2,2,target,104,30,50,3,3,18,48,65,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096661094,36,演说者,树 暗些,1501096664715,close,target,149,73,50,3,3,distr1,85,62,50,1,2,distr2,156,96,50,2,1,15,6,18,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096673303,37,演说者,土地,1501096675800,close,distr1,83,69,50,2,1,target,66,73,50,3,3,distr2,127,76,50,1,2,9,19,10,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096688974,38,演说者,女士 明亮,1501096691133,close,target,299,58,50,1,1,distr2,277,58,50,2,3,distr1,266,72,50,3,2,17,11,7,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096700535,39,演说者,树 明亮些,1501096704386,split,target,103,41,50,2,3,distr1,123,23,50,1,1,distr2,41,21,50,3,2,10,25,21,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096711798,40,演说者,天空,1501096713385,far,target,213,81,50,3,1,distr2,327,46,50,1,3,distr1,22,69,50,2,2,50,35,37,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096722040,41,演说者,血液,1501096723379,far,target,347,84,50,1,3,distr1,15,3,50,3,2,distr2,57,89,50,2,1,28,66,41,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096729407,42,演说者,大海,1501096730761,close,target,220,82,50,2,3,distr2,246,45,50,3,1,distr1,231,15,50,1,2,18,11,18,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096740133,43,演说者,暗些,1501096742396,far,target,162,26,50,1,3,distr1,104,82,50,2,1,distr2,261,90,50,3,2,29,49,77,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096748749,44,演说者,土地,1501096752172,close,target,75,73,50,1,3,distr2,102,47,50,3,1,distr1,143,74,50,2,2,17,14,10,true
