gameid,epochTime,roundNum,sender,contents
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009770723,1,倾听者,hi
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009780640,1,演说者,接近地
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009792580,1,演说者,的颜色
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009803540,1,倾听者,灰色？
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009828080,2,倾听者,？
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009849356,3,倾听者,？
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009871308,4,演说者,树的颜色
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009889576,5,演说者,冷色
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009910004,6,演说者,草的颜色
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009933371,7,演说者,肉桂
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009949791,8,倾听者,？
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009974025,9,倾听者,？
7645-31884455-9ae0-4726-a830-00d8014ac468,1501009991587,10,倾听者,？
7645-31884455-9ae0-4726-a830-00d8014ac468,1501010015824,11,倾听者,？
1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032293921,0,演说者,Black
1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032306600,0,演说者,White
1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032315179,0,演说者,Ok good color
1531-0519ed42-819e-47c9-aec3-73f1bfa8b697,1501032324477,0,演说者,Reji
4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033341734,0,演说者,红
4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033359914,0,演说者,红
4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033392693,0,演说者,紅
4052-994445f3-3f93-483b-bf8b-b2b3fcee8e28,1501033482990,0,演说者,RED
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096118786,1,倾听者,？
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096130075,1,演说者,深色的血液
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096152265,2,演说者,深海
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096181129,3,演说者,女士 高雅
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096198124,4,演说者,龙
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096214088,5,演说者,土地
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096236253,6,演说者,最深
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096256219,7,演说者,艳丽
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096287360,8,演说者,两种稍微深些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096310697,9,演说者,暗些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096322412,10,演说者,土地
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096334308,11,演说者,不同的
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096346697,12,演说者,明亮
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096357396,13,演说者,暗
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096380810,14,演说者,两同色中暗些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096403315,15,演说者,深
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096414415,16,演说者,暗些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096427801,17,演说者,大海
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096444332,18,演说者,中老年女
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096453579,19,演说者,土地
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096471016,20,演说者,明亮
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096480840,21,演说者,暗色
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096489361,22,演说者,基佬
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096499938,23,演说者,暗
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096515080,24,演说者,暗
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096523282,25,演说者,女士
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096538969,26,演说者,两色中明亮一些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096546544,27,演说者,大海
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096554952,28,演说者,基佬
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096564168,29,演说者,明亮
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096575280,30,演说者,土地 深些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096589748,31,演说者,中暗
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096610992,32,演说者,暗色
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096622144,33,演说者,女士
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096635828,34,演说者,两同色中暗些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096647549,35,演说者,明亮树
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096661094,36,演说者,树 暗些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096673303,37,演说者,土地
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096688974,38,演说者,女士 明亮
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096700535,39,演说者,树 明亮些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096711798,40,演说者,天空
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096722040,41,演说者,血液
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096729407,42,演说者,大海
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096740133,43,演说者,暗些
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096748749,44,演说者,土地
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096760408,45,演说者,橙子
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096771366,46,演说者,最深
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096793464,47,演说者,不是树，不是天空
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096811263,48,演说者,浅海
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096821275,49,演说者,天空
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096826405,49,演说者,大海
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096837758,50,演说者,最深的色
1335-1ca93459-779e-4930-a18c-6077a00ed72b,1501097221281,0,演说者,? 我要继续等待吗？
1335-1ca93459-779e-4930-a18c-6077a00ed72b,1501097569223,0,演说者,我已经等待了将近25分钟了，我应该怎么办？
6404-4779d0b9-40ee-401a-9139-9a2c88b7cc59,1501097922031,0,演说者,fgwes
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120557689,1,倾听者,请描述。。。
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120702265,2,倾听者,仍然没看到任何描述。。。
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120798176,3,倾听者,演说者了解他/她的任务吗？
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120847123,4,演说者,红色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120861381,5,演说者,绿色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120870885,6,演说者,黄色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120899051,7,演说者,红绿灯的绿色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120916206,8,演说者,红绿灯的绿色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120931256,9,演说者,红
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120955903,10,演说者,不是蓝色也不是粉红色的那个颜色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120992501,10,倾听者,猪肝色吗？
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120998078,10,演说者,哈哈是的
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121026991,11,演说者,最接近黄色的那个
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121053821,12,演说者,墨绿色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121071467,13,演说者,蓝色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121084486,14,演说者,橙色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121118483,15,演说者,不是紫色也不是灰色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121141377,16,演说者,最亮的红色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121167085,16,倾听者,粉红色吗？
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121175953,16,演说者,是的
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121184514,17,演说者,灰色
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121196210,18,演说者,墨绿
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121248418,18,倾听者,带青色或带蓝色？
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121283031,18,演说者,青色
